Month,Switzerland,Germany,Italy,France,Austria
1,67.57318507765795,88.82621812076677,66.26972189719697,39.800350432234374,78.74198099465431
2,57.88746032458667,75.8203450077315,59.415719395120085,30.682035289574543,52.98432361305969
3,28.661559718136907,34.852601881453374,29.244182733158326,19.602247120686492,28.442805157379198
4,14.3421856543683,15.227506862275952,14.720012829610003,14.079920285719176,12.321043766587678
5,10.8828975741766,10.895846475222774,11.914075365084976,11.810509565552582,10.549496286414302
6,10.753902381863545,10.623495960158277,12.405732235207138,12.310649669383691,11.13846129930929
7,10.879057166441749,11.519166087603036,12.97011068816094,11.467016821334715,11.323968748480263
8,13.727714647685888,13.523770333853335,15.612681232032763,13.916493380500084,12.984012566198993
9,20.200496685815292,19.782549330673188,21.705078525656166,18.90949474783553,20.205226769978896
10,39.7238817800698,53.495784462677726,40.731865138067164,22.793118738952167,48.698052656080854
11,56.183372282557684,63.48494420193346,58.2133027573766,33.079285058357115,66.22679289592506
12,67.28061372180791,104.68462969354628,60.72664997441428,27.56082743950708,92.47048473139776
