Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.7623016231106129,0.5455917249437542,2.189964668256954,2.1899779341089456
DSM (Up),-0.7623016231106129,-0.5455917249437542,-2.189964668256954,-2.189977934108918
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8931425095456682,0.19122028526785723,2.122193565688342e-06,0.0
Gas CC-CCS,0.0,0.0,0.0,0.40733365305880775
Gas CC-Syn,0.0,0.0,0.0,0.0034596725607418653
Gas Other,0.00012823191395194646,2.371849903771103e-06,1.0958180889959324e-06,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,1.3305153419977833,2.6134438340605968,3.697390458708442,4.035396411004564
HP Shift (Up),-1.0206461774341724,-2.2092827415700436,-3.289633543716967,-3.6612075128702832
Hydro Dam,18.067199908415564,18.071922545390542,17.656700704938874,17.981449238534655
Hydro RoR,17.280767478288894,17.960949120276375,19.264496263193827,19.428290260108913
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,4.960787193172177e-07,2.752295402635822e-07,1.03853042016975e-07,1.0701356201130049e-07
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.940988401640887,14.4993826106685,4.994406217900788,0.0
Oil,2.2174688082915368e-06,3.356192760458386e-07,1.9711486954857433e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.7439074223293844,6.82350198974053,6.833948957186827
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.5986281672398164,19.2190595393176,29.54558939230346,32.13343096602624
Pump,2.9699490708472944,4.770612300101063,7.045825010598617,7.731268578456731
Pump (Load),-0.07285692393966266,-1.5445689892309866,-3.4224525544482725,-4.186514177517858
Waste,1.726817613846462,0.45766247231702417,0.07962547367225532,0.9654363003994255
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.18760197381447433,3.0965788724674845,3.090342980997652,3.072997313804831
Exports,-46.68471261477302,-58.81782697036583,-60.09358591691346,-56.744671324244806
Imports,47.260932139545304,42.85724581067621,43.074621762880646,43.69647130207128
Imports (Net),0.5762195247722888,-15.960581159689621,-17.01896415403282,-13.048200022173518
Load (Net),58.653950031945705,38.85076048688553,29.007396315958367,29.656711923982108
Load (Total),61.44018017299999,63.910306321,68.466830679,71.69708916100002
