Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,994034937.6701765,610251222.7182838,374641313.61620796
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,481926025.2329654,295860774.1167357
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,51021099.74159773
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,946182861.0,488807793.27955145,170398599.11814556,82680525.09319787
Fixed Operation,0.0,540561495.8298382,457655714.11215025,251807891.57607883
Trading,-65894106.85490948,-434400533.92215484,-119666907.32927004,-14367169.266155705
