,0
0,-6853.438495682411
1,-7024.7827874959585
2,-7088.674168982881
3,-7324.458959932776
4,-7424.295268056334
5,-7374.88622817835
6,-7485.515087564827
7,-7537.981064044448
8,-7618.47146468481
9,-6108.888879324356
10,-5861.048495113002
11,-5939.650184484256
12,-6098.368508070184
13,-5458.784324373098
14,-5625.253021021424
15,-7260.2945518909355
16,-6686.4821238602435
17,-6672.394707143918
18,-6793.897248696137
19,-7097.270956959967
20,-7309.718031149843
21,-7393.580895424415
22,-6866.493330055879
23,-6986.888049079503
24,-7101.350276166466
25,-7153.641213424737
26,-7176.093836781793
27,-7377.106685554635
28,-7588.484756114384
29,-7698.450404029231
30,-7836.392698850637
31,-7900.1507428229725
32,-7858.116966763589
33,-7820.106644205888
34,-6283.974699137366
35,-6299.99913098994
36,-7608.590245308
37,-7792.061184314476
38,-7669.907790413263
39,-7548.783935709098
40,-7358.363453169661
41,-7223.500501436729
42,-7488.339107309792
43,-7454.79179884783
44,-7547.1978267254535
45,-7193.9273885173125
46,-7141.4734812876695
47,-7138.334564527332
48,-6636.729625511219
49,-6561.792584974434
50,-6737.50023828812
51,-6638.330823540549
52,-6643.667602380249
53,-6695.569299181239
54,-6646.714162162437
55,-6571.404533445525
56,-6468.646463155761
57,-4273.960979604867
58,-4663.9469995754225
59,-4422.75043571132
60,-4204.347288546967
61,-4689.555983892662
62,-6440.394119856155
63,-6486.675493384436
64,-7690.301226874103
65,-6600.8166265097525
66,-6503.548558347027
67,-6474.098870136764
68,-6766.164600103453
69,-7042.224220131711
70,-6909.058192014747
71,-6683.169229314988
72,-6492.393630524435
73,-6867.608809698391
74,-7025.153305962611
75,-7117.141043808198
76,-7252.762776231109
77,-7276.675212473987
78,-7326.6765275335565
79,-6937.8843393419165
80,-4700.817912755727
81,-4849.666721331818
82,-5223.618622205944
83,-6760.949311644967
84,-6518.987132039181
85,-5657.229392951142
86,-4916.246731723345
87,-7002.476120588975
88,-7217.274122221912
89,-7388.16658040283
90,-7372.347870107857
91,-7130.633115376441
92,-7696.876961941694
93,-7173.749293379534
94,-7407.585386803536
95,-7473.301169678164
96,-8321.188848808004
97,-7184.57778841658
98,-7413.082861027871
99,-7407.147080017477
100,-7490.245738270666
101,-7459.046427547611
102,-7663.430866997012
103,-7441.768919880365
104,-6708.369195877239
105,-5919.202462686177
106,-6122.878540704768
107,-6121.676443863667
108,-6702.466724317503
109,-5947.558940838617
110,-7032.805828786091
111,-7347.527358749017
112,-7401.768353228473
113,-7595.9784598838105
114,-7559.590170520103
115,-6649.875930264092
116,-6707.135776356517
117,-6482.376045091035
118,-6738.8454975499635
119,-6991.855280199056
120,-6815.26072281409
121,-6432.785492111265
122,-6490.333942339984
123,-6640.075619435933
124,-6742.420412078128
125,-6784.7762585890305
126,-6775.063771391349
127,-6357.224633444841
128,-6495.209661949224
129,-6418.566644640747
130,-6224.700263320799
131,-6255.876249564509
132,-6446.624674935608
133,-6508.147923312483
134,-6367.198460679254
135,-6477.217009795534
136,-6518.733943170509
137,-6492.608598034753
138,-6358.1979076550315
139,-6198.948270449817
140,-6277.503855631387
141,-6354.523610140095
142,-6511.618315080766
143,-6566.412394688701
144,-6569.051643422938
145,-6577.365646939417
146,-6415.156582221244
147,-6463.295129302804
148,-6409.059940354646
149,-6491.840716797244
150,-6568.543683734696
151,-6184.395771400292
152,-6206.455954638299
153,-4189.516492498766
154,-4215.087082968676
155,-4393.670239762087
156,-4467.725076049193
157,-4388.780759071598
158,-4519.014475188422
159,-6376.7124623376785
160,-6499.3051054437865
161,-7144.547870640419
162,-6878.626821135183
163,-6874.965764281845
164,-7059.204805843446
165,-7619.349317735794
166,-7745.175591419362
167,-6796.064951823114
168,-6610.993005589635
169,-6390.569481761588
170,-6749.172676359609
171,-6359.4494334665
172,-7257.515361446373
173,-7760.859269299556
174,-7643.435540282395
175,-7644.310986681738
176,-7420.895726409443
177,-6299.981483739761
178,-4430.678320484511
179,-4153.688977093889
180,-4193.468161323001
181,-5448.62130676815
182,-6571.350578546733
183,-6399.058044937353
184,-7105.855992556788
185,-6944.752190646265
186,-6914.146640441133
187,-6988.457387732356
188,-7303.523187988915
189,-7493.104623711584
190,-7569.270538646467
191,-7639.048232270998
192,-7247.8731999039255
193,-7278.969618493983
194,-7276.1736585524695
195,-7374.93987907353
196,-7457.512744350983
197,-7483.676907126598
198,-7540.827112293831
199,-7420.95178354446
200,-6091.807651860978
201,-4582.27838748338
202,-4428.823947403917
203,-4226.053856297429
204,-4381.452820186789
205,-4693.77068572028
206,-4906.944561818487
207,-6259.226091903371
208,-7215.464770294251
209,-7286.58140124123
210,-7388.02952497291
211,-7599.537086308193
212,-7078.912679494151
213,-7314.5914306959185
214,-7467.2098720188
215,-7641.50481149351
216,-7574.709378138454
217,-7641.278358993357
218,-7703.744493802087
219,-7770.021575889481
220,-7860.647602326181
221,-7974.7362292625985
222,-7999.97179796463
223,-7487.924832925242
224,-6979.547699190054
225,-6239.386320865233
226,-4516.469264800134
227,-4425.525962444034
228,-4392.8647298862625
229,-4328.269184878489
230,-4410.939466846013
231,-6833.623749182871
232,-6931.290384962356
233,-6804.862413916254
234,-6590.444586030457
235,-6231.209813356058
236,-6220.536239598098
237,-6900.743189231605
238,-7039.621696802717
239,-6998.429881081652
240,-4120.79433999514
241,-4168.841834141629
242,-4195.186315971761
243,-4216.075521071963
244,-4342.504683352577
245,-4333.511731456902
246,-5032.543864159417
247,-5950.249586043392
248,-3602.3381685769837
249,-3728.7049407336253
250,-4600.949579073272
251,-5123.72380439421
252,-5297.648520623875
253,-5204.361049645359
254,-5644.931939878113
255,-4084.0244813104255
256,-3795.307594493739
257,-3774.6833089473785
258,-3636.522132764444
259,-3532.5713423229026
260,-3640.2251477860264
261,-3745.3249234427376
262,-3916.5735305181443
263,-4032.755259658056
264,-3192.2630842907924
265,-3190.0091075141017
266,-3213.2321686470113
267,-3242.5778300660077
268,-3260.660109365852
269,-3295.7136984195363
270,-3286.433540156013
271,-3152.414639938589
272,-3337.101815450554
273,-4204.722990977038
274,-4538.61479621871
275,-4497.051764263622
276,-4646.420156345888
277,-4599.145362595844
278,-4579.6155637889515
279,-3897.1228437667683
280,-3347.3604798493952
281,-3407.951614813271
282,-3538.402799197182
283,-3665.444471990972
284,-3470.866224030068
285,-3921.877392719187
286,-4399.293383871363
287,-4500.543235456816
288,-3808.446555092913
289,-3867.344338692842
290,-3876.320633971238
291,-3914.3977934294144
292,-4141.119895052397
293,-4383.830569565516
294,-4420.168512866103
295,-3765.745126852963
296,-1699.999313200658
297,-3941.0929738693185
298,-4624.624499926209
299,-5981.535907863656
300,-7655.889481867956
301,-6700.017016718007
302,-4989.772290904058
