Month,Switzerland,Germany,Italy,France,Austria
1,67.90660739791808,88.84072860262084,66.25493672525018,39.999433618980895,78.8263940093185
2,58.725966781080146,75.88730132340099,59.53296427312101,30.773807432434314,53.081338479894406
3,28.846497392528548,35.082036505907446,29.416827729567625,19.57359337110716,28.518590938371588
4,14.34713174199205,15.261949159047402,14.921991447144253,14.106657184033052,12.389966867595767
5,10.835867668744344,10.92471989633753,12.019195235448233,11.786045621844778,10.58724849924096
6,10.802315508142769,10.635026214023263,12.489308514090137,12.331301773025208,11.163535685340035
7,10.880312757050714,11.536155676476847,12.986409233929624,11.472270767962799,11.341392965375276
8,13.693502978795165,13.532447901944048,15.621824502931204,13.923571340327653,12.989364015013285
9,20.180929438436127,19.797444432165147,21.732359040676858,18.922796133901628,20.226198363346086
10,39.98125366659655,53.622538346402486,41.02624737754166,23.028274936046355,48.96581113295843
11,56.87332186251114,63.57613710593083,58.43795139369036,33.10150408485171,66.59278498438476
12,68.27164049962832,104.72868995955614,60.87638859000401,27.668839327471815,92.7482040657764
