Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.7640839676636255,0.5456331471526614,2.1899042730606553,2.18994206661385
DSM (Up),-0.7640839676636255,-0.5456331471526606,-2.1899042730606553,-2.1899420666138547
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8931126698664669,0.1907305049285335,5.450506598526367e-06,0.0
Gas CC-CCS,0.0,0.0,0.0,0.37359455179492296
Gas CC-Syn,0.0,0.0,0.0,0.0
Gas Other,6.31695596377471e-05,5.803395931604156e-06,2.914996507299859e-06,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,0.0,0.0,0.0,0.0
HP Shift (Up),0.0,0.0,0.0,0.0
Hydro Dam,18.067284090258916,18.072919285230927,17.68307453586746,17.984043683246696
Hydro RoR,17.28083197004007,17.959995673127473,19.25336928252826,19.418088927857113
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,4.824869579975732e-07,5.235182049812775e-07,3.8803055182334906e-07,2.1617370207463725e-07
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.903334559776763,14.494795847261337,5.010150783859178,0.0
Oil,1.1968672226500193e-06,7.573697357926931e-07,5.445417974853317e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.737517344689459,6.795193031141336,6.80410172523079
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.598641730371294,19.194565989286,29.360659080050297,31.863622735632813
Pump,2.973722322064795,4.887946826056774,7.229610577340103,7.91052676060964
Pump (Load),-0.07729143358021547,-1.6754162591070043,-3.647260444291306,-4.405052691100466
Waste,1.7264277347564314,0.459410110380168,0.08253339146506025,0.9692280232903012
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.18760417234802437,3.0964738168986474,3.0891457937698963,3.0703757818020097
Exports,-46.27032251246012,-58.317518414922965,-59.730443159868884,-56.65965024593723
Imports,47.19505030136193,42.80888054054208,43.3407899432553,44.368210580129265
Imports (Net),0.9247277889018016,-15.508637874380886,-16.389653216613578,-12.291439665807962
Load (Net),58.653934270280686,38.88174917012589,29.221832774038475,29.958988918334395
Load (Total),61.44018017299999,63.910306321,68.466830679,71.69708916100002
