Hour,Battery,Battery (Load),Biogas,Biomass,CAES,CAES (Load),CSP,Coal,DAC (Load),DSM,DSM (Up),EMob Shift,EMob Shift (Up),Gas CC,Gas CC-CCS,Gas CC-Syn,Gas Other,Geothermal,Geothermal-Advanced,HP Shift,HP Shift (Up),Hydro Dam,Hydro RoR,LAES,LAES (Load),Lignite,Load Shed,Load Shed Ind,Marine,Methanation (Load),Nuclear,Oil,Other NonRES,Other RES,P2G2P,P2G2P (Load),PV Agri,PV Alpine,PV Facade,PV Highway,PV OpenField,PV Roof,Pump,Pump (Load),Waste,Wind Offshore,Wind Onshore,Exports,Imports,Imports (Net),Load (Net),Load (Total)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011851125489096375,-0.06686880980925398,0.0,0.0,0.0,0.05147987376829229,0.0,0.0,0.0,0.0,0.0,0.0,5.388460402672459,1.3211121605843679,0.0,0.0,0.0,2.565689332754064e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5638092487035578,-3.9235239548731e-06,0.22699172108039392,0.0,0.7995197623807071,-6.85343849568241,6.660918993645396,-0.1925195020370147,8.304312237619293,9.103832
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012615412646767852,-0.04055353190823336,0.0,0.0,0.0,0.1029595771747183,0.0,0.0,0.0,0.0,0.0,0.0,5.393087768026791,1.3211121358309166,0.0,0.0,0.0,2.5883961670252482e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5607246513885704,-4.0976013439878e-06,0.22549178167493,0.0,0.5781997746668676,-7.024782787495959,6.747849374797986,-0.27693341269797384,8.298500225333132,8.876700000000001
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04713880453067481,-0.02450967965561825,0.0,0.0,0.0,0.129999744170552,0.0,0.0,0.0,0.0,0.0,0.0,5.3465847571291185,1.3211121630230083,0.0,0.0,0.0,2.5680570157184578e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5580731737311153,-3.957400629493901e-06,0.22399215842354828,0.0,0.9563097678390956,-7.088674168982881,6.321275296588224,-0.7673988723946568,7.834988232160905,8.791298000000001
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16550984924182688,-0.0005572003074015919,0.0,0.0,0.0,0.1299997460666744,0.0,0.0,0.0,0.0,0.0,0.0,5.279986460536498,1.321112164515223,0.0,0.0,0.0,2.553825220177604e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5553815162370082,-3.9266792990454005e-06,0.22389213940878808,0.0,0.6024797017521291,-7.324458959932777,6.5096415690582665,-0.8148173908745102,7.860503298247871,8.462983
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0661272194719152,-0.02968032439246883,0.0,0.0,0.0,0.12999974400394548,0.0,0.0,0.0,0.0,0.0,0.0,5.231815663572096,1.3211121581758474,0.0,0.0,0.0,2.5443128893059602e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5525054109682008,-3.9224474599696e-06,0.22389210248295344,0.0,0.5297597439721612,-7.424295268056334,6.475957532535057,-0.948337735521277,7.547430256027838,8.07719
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008534144731936386,-0.1481485567379442,0.0,0.0,0.0,0.1299997431619691,0.0,0.0,0.0,0.0,0.0,0.0,5.1417924800162185,1.321112140716962,0.0,0.0,0.0,2.523376872842264e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5518137228839355,-3.9617891612525e-06,0.22389203196121016,0.0,0.5557597034510708,-7.37488622817835,6.450024569484269,-0.9248616586940815,7.296449296548929,7.852209
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001151000969309818,-0.07137964019164679,0.0,0.0,0.0,0.12999974350462862,0.0,0.0,0.0,0.0,0.0,0.0,5.111563611200214,1.3211121434585664,0.0,0.0,0.0,2.5222369789434688e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5480451364734584,-3.9581711019156e-06,0.2238920858161916,0.0,0.68028974240667,-7.485515087564827,6.233159281699532,-1.2523558058652953,7.01202425759333,7.692314
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06608850618841657,-0.04780028354200804,0.0,0.0,0.0,0.1299997432555241,0.0,0.0,0.0,0.0,0.0,0.0,5.118939317865678,1.3211121461216908,0.0,0.0,0.0,2.5253452577437947e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.548360897240018,-3.9648259523901e-06,0.22389213054069063,0.0,0.5007397501952813,-7.537981064044448,6.390345880216266,-1.1476351838281826,7.212953249804718,7.713692999999999
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015132051489952932,-0.09185606465286593,0.0,0.0,0.0,0.1299997414745182,0.0,0.0,0.0,0.0,0.0,0.0,4.971364255797044,1.3211121180455392,0.0,0.0,0.0,2.4860778904006295e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41986947809385033,0.0,0.0,0.0,0.3217370233109784,1.5396141690721357,-4.0531416344827e-06,0.2238921493775928,0.0,0.4053998649484189,-7.618471464684809,6.412007663666452,-1.206463801018358,6.889171633646752,8.036178000000001
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0655956642842946,-0.2666766649764664,0.0,0.0,0.0,0.1299997692639098,0.0,0.0,0.0,0.0,0.0,0.0,2.8769777179448006,1.3211117312961942,0.0,0.0,0.0,2.4853514340208675e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5372197089556712,0.0,0.0,0.0,1.7254976029666205,0.6025454600615302,-6.5102735296573e-06,0.223888841050219,0.0,0.35942980045203976,-6.108888879324356,6.055702852692488,-0.05318602663186721,4.900249887625669,8.522397000000002
