Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,993260777.095717,609775955.2812543,374349540.6376392
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,482407051.1644036,296156082.3113424
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,48975172.87990704
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,944928618.0,489391018.8512875,171351526.86353114,82415565.75302155
Fixed Operation,0.0,540136468.3365805,457631065.53997034,251010073.21093234
Trading,-44383195.05692494,-411664342.6085049,-107887459.60931566,-4108444.5144650694
