,0
0,-6043.715621209636
1,-6242.693424718312
2,-6135.939035215111
3,-6377.147379326734
4,-6454.483207297028
5,-6472.463114309123
6,-6433.997992271038
7,-6897.518000930983
8,-7500.402307528509
9,-5863.212464510186
10,-5697.083706310185
11,-5712.015574186351
12,-5886.589216796642
13,-4829.709736742719
14,-5506.65932735954
15,-7373.110920069736
16,-7100.084291229611
17,-7049.718660578306
18,-7363.188628550193
19,-7748.0409560365615
20,-7934.563797934551
21,-7940.945583078939
22,-6991.073527762846
23,-7233.573602182183
24,-6640.685469866825
25,-6738.037956795409
26,-6753.825221441766
27,-6863.404693231618
28,-6973.328171921069
29,-7033.9289381090275
30,-7260.581375209031
31,-7666.313425616041
32,-7985.180971217253
33,-7416.960546711831
34,-5262.047714361261
35,-6299.9929670075235
36,-7036.699402792912
37,-6994.291973478734
38,-7059.9402144646865
39,-7735.094248843854
40,-7764.584503664248
41,-7789.9447170482335
42,-7999.848093290475
43,-7999.908402143536
44,-7999.9572138967
45,-7685.685826926408
46,-7663.288247349008
47,-7616.146850951874
48,-6989.937233376799
49,-6237.3840832831
50,-6423.50402784102
51,-6323.16341686933
52,-6308.253971284566
53,-6366.227975257523
54,-6377.8228389159995
55,-6849.622984176119
56,-6569.087223990698
57,-4008.5770535554448
58,-4313.6736188626855
59,-4079.5116883296146
60,-3928.108979962512
61,-4383.692141415963
62,-6066.92703532031
63,-6204.500253078654
64,-7999.996861178962
65,-7493.850555070559
66,-7431.792821148534
67,-7410.344258120277
68,-7624.99232867053
69,-7652.331280310509
70,-7691.146971627658
71,-6504.559313475504
72,-6025.035627620974
73,-6128.896367351306
74,-6412.481732925115
75,-6422.586311746375
76,-6395.291176287944
77,-6368.930930275278
78,-6546.1310472733185
79,-6358.496802961266
80,-4863.468898907829
81,-4730.901639119212
82,-4649.705637840217
83,-5648.211456916109
84,-5247.899685967355
85,-4965.8903018267
86,-4475.425530866157
87,-6511.908339424021
88,-7999.979657050875
89,-7999.982841495546
90,-7999.983228445422
91,-7999.9712218901905
92,-7999.978012071168
93,-8213.727768252764
94,-8193.434452266765
95,-7999.978986652469
96,-8537.591715088918
97,-6308.874526416709
98,-6393.846874134411
99,-6362.7521029178815
100,-6635.748009747841
101,-7131.921764363622
102,-7680.749723087974
103,-7771.855859531293
104,-6153.373640418033
105,-5500.417851630827
106,-5541.68425586445
107,-5279.302263739201
108,-5277.558033786898
109,-5246.421249047795
110,-6415.1635313172
111,-7774.427473347796
112,-7828.592753542785
113,-7889.953740741208
114,-7855.046270266741
115,-7183.434236471265
116,-6790.915630669388
117,-6062.9378694451525
118,-6082.207749467826
119,-6384.397829510966
120,-7043.002891970735
121,-6644.807081402907
122,-6749.818509528139
123,-6926.429875259429
124,-7035.438134276455
125,-7072.606323821583
126,-7059.664470397394
127,-6580.434909294683
128,-6510.186249469682
129,-6244.980650032189
130,-5962.092264807685
131,-5941.2829748836975
132,-5889.197420973456
133,-6139.501122988146
134,-5970.150616900329
135,-6099.421575569773
136,-6082.2999672458245
137,-6148.170121670862
138,-6022.5075164271275
139,-6153.42169731734
140,-6285.997782664273
141,-6215.8618245355765
142,-6313.9466249414945
143,-6426.32322694771
144,-6704.270322471608
145,-6705.720736654188
146,-6378.415799629576
147,-6058.513813147918
148,-5996.897393020815
149,-6162.5730677151405
150,-6195.216158825404
151,-6012.95755588188
152,-6100.236445044875
153,-4084.0495809050635
154,-3773.8325867042304
155,-4009.1358939756374
156,-4102.025313284528
157,-4187.755931617691
158,-4466.173648668125
159,-6426.805057961534
160,-6691.485229177703
161,-7632.334791492138
162,-7435.898843328009
163,-7847.088682092636
164,-7895.515478869363
165,-7999.9855840508135
166,-7999.9898926485985
167,-7095.038599670185
168,-5732.296480583857
169,-5627.507229262676
170,-5566.485774060609
171,-6037.254700033158
172,-7056.613343977219
173,-7094.550259474987
174,-6955.536713121071
175,-7328.2393597299415
176,-7411.363144636976
177,-6235.05409832737
178,-4327.956451491561
179,-3867.125024412687
180,-3912.726348801897
181,-4569.484175681657
182,-6228.772376842485
183,-6120.751587401195
184,-6786.401221719161
185,-7122.945195487673
186,-7445.875286913881
187,-7585.782251629872
188,-7685.926501917889
189,-7948.654698149541
190,-7994.506731342603
191,-7512.35525086218
192,-6623.269371885
193,-6555.872881712556
194,-6506.294541555794
195,-6574.504187999244
196,-6614.518571345023
197,-6622.238294426941
198,-6660.148883249656
199,-6854.2756388553125
200,-6299.9787276658135
201,-4375.389538287914
202,-4116.836486928267
203,-3878.3160132440303
204,-4078.443251265834
205,-4429.510889712216
206,-4232.730736822901
207,-5933.835958735856
208,-6503.720712483882
209,-6954.650266581183
210,-7139.751288503747
211,-7448.131065247562
212,-7665.308994796147
