,0
0,7334.023992710338
1,7449.926990494078
2,7209.332632564478
3,7377.068457159543
4,7300.255213663835
5,7051.534529493198
6,6723.613558984329
7,6641.741996480751
8,6516.53798457348
9,6717.348627345424
10,6396.014936767977
11,5124.618520019679
12,5594.73246477571
13,6254.183925059621
14,6511.396996606982
15,6873.419005313037
16,6270.777970567942
17,6254.185482927022
18,6431.160133414805
19,6348.462479144153
20,6329.578918736807
21,6112.976941000308
22,5964.110224584089
23,6053.485325437943
24,7089.725914060282
25,7085.425002740598
26,6671.166448066058
27,6194.300336271692
28,6272.61474080836
29,6097.56788948679
30,5719.950391797414
31,5393.050599032049
32,5482.701254447541
33,6189.670833789139
34,6194.177431597542
35,5105.3293795680875
36,6006.170499242467
37,5888.74569863172
38,6730.133805854723
39,6890.315892559438
40,6500.349950892463
41,6329.158916886967
42,6292.561876804448
43,5911.3233335422065
44,5812.305715461237
45,5978.1748474546475
46,5604.429054116027
47,6007.731154979228
48,6418.646006074194
49,7269.0894059939665
50,7470.374448231879
51,7277.818917012324
52,7199.21457133785
53,7270.437833108766
54,6373.427434610325
55,5079.9761642706935
56,6170.855982790725
57,8090.529962593997
58,6858.058109744622
59,5556.322617696755
60,5741.047068961306
61,5104.702057573846
62,6017.221433933364
63,7573.308483166199
64,5900.579302379945
65,5834.994329842728
66,6102.852543690441
67,5958.015840036562
68,6213.613009013909
69,5501.435573513383
70,5365.006156097228
71,6152.710314458052
72,6979.575059993151
73,6916.214316199047
74,6970.3406710654
75,7004.201386122628
76,6939.753718763942
77,6593.040993272335
78,6647.748822328016
79,6348.923087202376
80,3363.6045588720917
81,5469.609803972824
82,3649.494230915411
83,2338.4106820804263
84,2980.9754343577015
85,2507.0350670345215
86,6502.958916187518
87,7159.7017290273325
88,3184.85921193672
89,3441.472414901803
90,1749.647831247094
91,1811.7296560995435
92,969.8769453219654
93,2455.532126710746
94,1467.913942332693
95,2731.554565644203
96,2907.716094235552
97,6598.992937874846
98,6727.71689621102
99,6546.140055784246
100,6359.356254324371
101,5944.250743588013
102,5373.82744892538
103,5209.752673759451
104,6919.0603018071115
105,5748.878722427399
106,4038.883162799433
107,2949.712590419325
108,2341.7723691746264
109,4056.1176414712586
110,5797.224138059153
111,6480.867348473922
112,6719.829914438177
113,6415.672838539582
114,6622.882390056904
115,6804.389178779495
116,6844.745938744359
117,6471.355030186363
118,6452.751933856831
119,7144.245314766005
120,4527.111741998064
121,5940.5535646838325
122,5406.358966111087
123,5525.331870535638
124,5454.340897937407
125,3140.8755995853858
126,3302.565506630574
127,6346.610584428986
128,7425.022030601447
129,7897.5883935401
130,8463.298349973767
131,8261.061000053043
132,8119.748141336549
133,7951.34615071907
134,7941.445076660972
135,7563.160904099319
136,8001.162743682615
137,8080.17191403608
138,7928.429877717009
139,7755.948774444809
140,7798.077659570322
141,7351.436662938423
142,7415.906580507084
143,7473.3369736141085
144,7858.1732358137415
145,7843.303924694184
146,7443.7330598423305
147,7461.221273637271
148,7211.916891077033
149,7977.8771026408185
150,7557.801001375922
151,7356.620391884527
152,7889.373313239674
153,8234.704163809387
154,8076.717737544379
155,7246.406955199106
156,7179.199921054252
157,5321.523355372201
158,7666.152706412792
159,8047.3276133056115
160,7898.2372367537555
161,5894.785690845891
162,6127.592053460001
163,5743.73212387489
164,5319.26139125958
165,5558.942302443563
166,5498.498021076547
167,4986.347146729191
168,6799.774539460702
169,6575.086366847105
170,6545.320496206323
171,6471.115383739661
172,6449.019401865873
173,6382.397709168772
174,5882.51310690158
175,6138.484136082858
176,6012.716095411307
177,4736.606047129322
178,6493.314026089631
179,7324.177007648308
180,7501.17061341539
181,4486.751371580945
182,6346.478561060713
183,7421.7436858075525
184,6918.7163950022905
185,6407.2835287715825
186,6273.069252667607
187,5995.2604790865935
188,5739.513281071975
189,5655.27627493118
190,5557.732449364241
191,5772.5232236201255
192,6408.4653860791
193,6560.973371942923
194,6498.975275818839
195,6733.049711343001
196,6581.958160508184
197,6574.982915419026
198,6677.910013588587
199,6109.432170275918
200,4115.630510001546
201,5749.233188501365
202,10044.867489842625
203,8665.571733778703
204,8956.912049940714
205,7892.10434133277
206,6497.790740246806
207,7555.411026740828
208,6425.256767794021
209,6230.778051140472
210,6066.899963721227
211,5982.686471222307
212,6014.535893745106
213,5632.587011550044
214,5601.65586532543
215,5702.077411762776
216,6595.131853706402
217,6285.037104128871
218,6250.857056232191
219,6372.05159519713
220,6105.903746237942
221,6393.379810241488
222,3952.751856064614
223,4836.542198688714
224,6007.980870592772
225,3242.41650750195
226,6284.49755359311
227,6546.675030182827
228,6500.586125277892
229,6565.333843363836
230,6337.917008569542
231,7200.176401748163
232,4654.937475050592
233,4424.07261653407
234,4189.5077567243525
235,1735.0237811054192
236,2525.9535298352275
237,6588.358634590097
238,6431.595258036181
239,6941.366910000132
240,4310.713765299804
241,4540.36852626664
242,4469.20242833796
243,4434.954938539653
244,3722.234864918906
245,4000.8352213064018
246,4101.211445472718
247,4029.4686444460094
248,5312.1814232011175
249,6530.52125231484
250,9891.472944230623
251,9826.491903162712
252,9840.596115480359
253,9844.584086491273
254,8687.494655816816
255,5885.329816486817
256,6970.854521595903
257,6977.699326795666
258,7485.029924984054
259,7814.007597006506
260,7449.5192222172345
261,4700.629489262504
262,4163.552407113495
263,3940.6093384061924
264,1781.7107710475484
265,5654.16320941024
266,5308.901069462873
267,4083.697493957055
268,3639.090834460962
269,2404.198818825531
270,2585.441178091196
271,2153.9887851223284
272,2958.099657336382
273,9136.74298598021
274,9987.457083394402
275,9931.846217912436
276,9872.869185036147
277,9769.574741968667
278,9856.214532431586
279,9491.71614433815
280,9029.139231337174
281,8861.970885483115
282,9241.966873172443
283,9096.611754859196
284,8161.8232776077
285,7908.013770959512
286,7635.065516116443
287,8220.487271362199
288,8956.308036747314
289,8904.63818664902
290,8904.920395504108
291,8366.312917146579
292,8439.233483048203
293,7975.561401873659
294,7381.878650825674
295,6940.306884065314
296,7508.892229272707
297,9130.044752632268
298,8060.780370994225
299,6592.4637280457355
300,6062.534455380513
301,5557.222669293787
302,7602.23841730272
303,7883.641688768945
304,5906.36642868664
305,5542.42328503215
306,6540.830702038478
307,7041.768768520559
308,6493.22405924228
309,5377.408350816191
310,5075.021229628883
311,4923.256272237572
312,7170.004508975046
313,7140.925040962234
314,7231.95777427549
315,7418.36654138974
316,7559.805234213003
317,6937.43831337709
318,7143.524991234248
319,6525.19303375609
320,7263.500235476937
321,7527.069131955055
322,6865.205430975642
323,6692.975253141962
324,6481.72707564478
325,6613.153607050513
326,6829.790069146826
327,6215.145109542522
328,6062.135151564644
329,6819.2139559616635
330,7132.848864071325
331,7039.787935868833
332,6445.936753785142
333,5474.442831122742
334,4221.8546070290195
335,3903.6287842187844
336,7718.765430937284
337,7429.132618957552
338,7562.993954053199
339,7626.500717537962
340,7390.385496116605
341,7149.062218071182
342,6982.054723958151
343,6788.197434584074
344,7314.837235134358
345,7109.237867666818
346,6886.834109360052
347,4772.508518050241
348,4011.8179094189804
349,2787.992685365459
350,3067.7778509669497
351,7460.801045582888
352,5832.073070366694
353,6294.869629291394
354,6470.272170963207
355,6454.072485987263
356,6167.894323560382
357,5697.346879963321
358,5478.727818053579
359,5297.760010162175
360,6856.073031663477
361,6759.057413014678
362,6839.658624534975
363,6802.786231310221
364,6644.16851519025
365,5835.92321886684
366,5597.540855881307
367,5721.402220753987
368,6171.75318441532
369,6227.1871040233045
370,3874.4675158243417
371,2441.9399473232975
372,1423.052527480049
373,3406.8006967886454
374,6089.566211537441
375,6805.955913445123
376,6376.832182882024
377,6349.416939946876
378,6296.608619733619
379,6327.711201189463
380,5413.85549000641
381,5486.279262958646
382,6325.772018008641
383,6723.323435217796
384,6982.368184103474
