Month,Switzerland,Germany,Italy,France,Austria
1,68.88063540643664,88.8409851419804,66.34720440635404,40.079231852608984,78.86407249432114
2,59.709100816630766,75.99272761421611,59.85790670825837,31.02776413856289,53.170176979047106
3,29.571853198631974,36.21558349378348,29.984261784606396,19.844132218590502,29.11427875982937
4,14.71790872776552,15.28890572893018,14.928990514495927,14.188199339530895,12.399844739898269
5,11.095344521122934,10.931975293200267,11.981804330681427,11.87931167498867,10.604926705103939
6,10.794700178955136,10.633545231758841,12.440258473476673,12.322031721027733,11.155940717506283
7,10.919595611156105,11.529912717656886,12.981702944756933,11.472966779133063,11.34103952339976
8,13.785128086344008,13.539360199971073,15.627275575233387,13.923477056335422,12.99751810240625
9,20.325165272993452,19.89269817357946,21.800473634922696,18.98569724743224,20.30877424421536
10,40.504935948968914,54.01491401508707,41.59137079266993,23.145723989427918,49.64913342153827
11,57.973145827076486,64.24904420547281,59.05259613980237,33.5632286699983,67.47793974164382
12,69.47040615943288,106.15604068715271,61.36328421621043,28.154497614828816,94.23553238775303
