Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.7623356721948558,0.5454107552694698,2.189951361652007,2.189918723194735
DSM (Up),-0.7623356721948558,-0.5454107552694698,-2.189951361652007,-2.189918723194726
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8931566113148599,0.19311645120600496,2.0559069294155236e-06,0.0
Gas CC-CCS,0.0,0.0,0.023846051021048684,0.4963611558724582
Gas CC-Syn,0.0,0.0,0.0,0.00781651271924903
Gas Other,9.192548213079305e-05,2.5152334634579357e-06,1.0532401490281816e-06,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,1.3332651575127439,3.4383951349399653,5.547988497242984,6.151865401849423
HP Shift (Up),-1.0233933021553145,-2.889472695806258,-4.921140828957487,-5.563744133920504
Hydro Dam,18.067248781598554,18.07370882705211,17.66968346818935,17.986710974524254
Hydro RoR,17.280808952780337,17.96131932343948,19.27159185592266,19.437490646497913
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,3.463813989518928e-07,3.4288717640367965e-07,1.9101491459348044e-07,2.3811756451493533e-07
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.941167105314918,14.521107378140872,5.011190637341859,0.0
Oil,1.6410380703278681e-06,3.7750068523937435e-07,1.9073399157053856e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.7413362031113637,6.829490239131584,6.847200801288497
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.598637072641059,19.218920613099563,29.63011690427028,32.24655254678385
Pump,2.969981894439493,4.762457102909291,6.879223843297388,7.600458822534235
Pump (Load),-0.07286909048021085,-1.5285525070048964,-3.2193276690298873,-4.022023535361768
Waste,1.7268936441715346,0.4620982066088445,0.08912585337599778,0.9748130079298062
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.1876041301321124,3.0965963312821176,3.090875004052471,3.0713689356965403
Exports,-46.687548887777155,-57.343313365825665,-58.66434694149962,-55.369708029222785
Imports,47.26341210179947,43.57675374893666,44.79823183349882,45.84991179411023
Imports (Net),0.5758632140223112,-13.766559616889001,-13.866115108000812,-9.519796235112556
Load (Net),58.65393964022683,41.22761669350695,32.48606735154567,33.54995232723111
Load (Total),61.44018084299999,66.284469841,72.036549499,75.715074611
