Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,991645233.7961445,608784151.8379778,373740659.3589044
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,484087579.73507804,297187781.07383335
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,53435652.041045316
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,946189795.0,489620317.907138,171320795.29509768,84362141.22065645
Fixed Operation,0.0,539268080.0585748,457845173.4400746,252837092.71156248
Trading,-65921632.41855645,-352868107.1073702,-71180948.23459527,22675848.820577372
