,0
0,-6475.169735771598
1,-6666.322766032692
2,-6762.351391669667
3,-6913.675568325454
4,-7064.8198508501555
5,-7153.984360239147
6,-7235.100432056131
7,-7248.213304709584
8,-7343.673856661198
9,-5972.14625209414
10,-5796.0170135301905
11,-5821.121210811596
12,-6011.969022322259
13,-5305.951155429665
14,-5694.184182923563
15,-7103.482878693978
16,-6446.821345469899
17,-6312.714753596357
18,-6521.6751782259325
19,-6791.709666303586
20,-7106.657898007221
21,-7121.824056972711
22,-6614.006186566837
23,-6729.121923176916
24,-6843.569181049228
25,-6896.89601940723
26,-6969.848450778292
27,-7220.445477433327
28,-7390.7154503990005
29,-7495.759703689842
30,-7689.128777757825
31,-7751.733395914297
32,-7750.71783954458
33,-7648.980249599222
34,-6093.6234397011585
35,-6299.997285920071
36,-7511.199751525094
37,-7613.439503140873
38,-7621.586541137109
39,-7414.237243296848
40,-7110.646457717952
41,-6999.058767030017
42,-7277.34055035162
43,-7260.0393346730025
44,-7375.849876184365
45,-6966.981676185206
46,-6945.355200572096
47,-6983.400936126835
48,-6566.416281923321
49,-6472.281781153164
50,-6653.644394880425
51,-6544.562295217465
52,-6501.974883731144
53,-6553.610070151244
54,-6499.2628417876585
55,-6469.765703213522
56,-6384.469185621001
57,-4187.52126428264
58,-4589.995789204566
59,-4349.425166871187
60,-4133.447467489269
61,-4616.389826092444
62,-6358.133906496964
63,-6241.941752411324
64,-7562.859954538979
65,-6259.845717700332
66,-6209.756248035079
67,-6107.552818288818
68,-6355.379588973965
69,-6418.847568500721
70,-7028.134245918599
71,-6504.398459010815
72,-6240.418043596367
73,-6295.2380944158685
74,-6713.521478248902
75,-6841.286065797001
76,-6995.550201167651
77,-6992.646048761768
78,-7044.010809399243
79,-6648.837360573018
80,-4617.1871366894975
81,-4892.456211735516
82,-5095.549016621762
83,-6392.938296626231
84,-6263.577180620192
85,-5490.453918212309
86,-4784.637313661698
87,-7069.1669359121515
88,-7171.742321874288
89,-7305.483607831327
90,-7282.980252437934
91,-7104.996121271256
92,-7277.888971604174
93,-7176.27651229407
94,-7226.350236573362
95,-7280.608806833046
96,-7949.517777277624
97,-6944.749718180334
98,-7092.927456781746
99,-7111.049247924328
100,-7255.893289495901
101,-7190.345729358553
102,-7402.795053780255
103,-7153.015446868345
104,-6471.899120696506
105,-5740.37439454559
106,-6010.705649677851
107,-5662.261807517224
108,-5815.7391259450615
109,-5670.141255066017
110,-6852.027840246772
111,-7212.321037207191
112,-6989.598190028885
113,-7135.315120535737
114,-7042.967314274118
115,-6169.054277313366
116,-6289.58709681085
117,-6266.509742463532
118,-6555.315872806064
119,-6770.1106209477275
120,-6628.2412836170115
121,-6310.204900060789
122,-6367.254264436611
123,-6516.185490647205
124,-6612.078079597539
125,-6493.571692690662
126,-6481.877576027737
