Month,Switzerland,Germany,Italy,France,Austria
1,68.84195439845756,88.85658783685707,66.33555224891387,40.50308748798465,78.94019406521271
2,60.252669358067784,76.15758003141526,59.807425726455904,31.375832443650534,53.250415472553314
3,29.912818790424662,36.3659803093435,30.168257381278835,19.842730993019206,29.293622430662193
4,14.446194510454474,15.308583288232196,14.973906234718559,14.138857091972138,12.427283083040523
5,10.940602015106613,10.963636802926796,12.072017965854085,11.801114313576631,10.61880681290794
6,10.843415259518524,10.64290949972909,12.55293582924655,12.34145425067246,11.18732932019343
7,10.90513009417201,11.54882081579856,13.002626460195193,11.47806249427032,11.354985131094951
8,13.720688042353697,13.54728484430264,15.636589966368694,13.933387774331058,13.00477787175592
9,20.54692336229521,20.190623663657174,22.106935384903565,19.215603320611454,20.59879107755175
10,40.88353524453505,54.19962302043851,42.05481876489214,23.508764254161605,49.89569017240247
11,58.43951884123687,64.22304911272454,59.15537678396595,33.64672081608713,67.64167190639732
12,68.89300689430118,106.17315204193858,61.45138155111921,28.78671163774717,94.24185540063414
