Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.7640653796354901,0.5458746045784734,2.18989868472869,2.1899384043180525
DSM (Up),-0.7640653796354901,-0.5458746045784731,-2.18989868472869,-2.18993840431804
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8931013419750977,0.19400310620880795,7.756322224489497e-06,0.0
Gas CC-CCS,0.0,0.0,0.06177853565201669,0.610153539905994
Gas CC-Syn,0.0,0.0,0.0,0.0031712579768866157
Gas Other,7.791903344166687e-05,5.507447910791325e-06,3.993526786118808e-06,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,0.0,0.0,0.0,0.0
HP Shift (Up),0.0,0.0,0.0,0.0
Hydro Dam,18.067260378264493,18.074822868021045,17.71882672135841,17.986190228152694
Hydro RoR,17.280810921873403,17.959284457165168,19.256744832563058,19.42128996109259
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,5.951284500297813e-07,6.526339097534767e-07,6.764449500704278e-07,3.6013672200802724e-07
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.903313046574716,14.507598376147396,5.039751861711797,0.0
Oil,1.4758028286293324e-06,7.745774537030828e-07,7.718774431897024e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.7315035132368095,6.79179961421384,6.800019214929684
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.5986371940433384,19.188223272907283,29.39458549640013,31.918448036520044
Pump,2.9737012187351968,4.939446545101418,7.142373096147617,7.895781791520918
Pump (Load),-0.0772790036686297,-1.7278558477066315,-3.5391289891289834,-4.378726487521897
Waste,1.7263871672449531,0.4646224809974366,0.09348856271831144,0.980175720315451
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.18760296028770493,3.096479347363243,3.0893254487792774,3.0706942112450544
Exports,-46.269713522118664,-56.64711777666731,-58.25019761319186,-55.23885715711979
Imports,47.19456037494275,43.5034555153566,45.23719138182146,46.6467346332072
Imports (Net),0.9248468528240945,-13.14366226131072,-13.013006231370387,-8.592122523912579
Load (Net),58.65394068866895,41.26826370749267,32.76083893960676,33.92591314830521
Load (Total),61.44018084299999,66.284469841,72.036549499,75.715074611
