Hour,Battery,Battery (Load),Biogas,Biomass,CAES,CAES (Load),CSP,Coal,DAC (Load),DSM,DSM (Up),EMob Shift,EMob Shift (Up),Gas CC,Gas CC-CCS,Gas CC-Syn,Gas Other,Geothermal,Geothermal-Advanced,HP Shift,HP Shift (Up),Hydro Dam,Hydro RoR,LAES,LAES (Load),Lignite,Load Shed,Load Shed Ind,Marine,Methanation (Load),Nuclear,Oil,Other NonRES,Other RES,P2G2P,P2G2P (Load),PV Agri,PV Alpine,PV Facade,PV Highway,PV OpenField,PV Roof,Pump,Pump (Load),Waste,Wind Offshore,Wind Onshore,Exports,Imports,Imports (Net),Load (Net),Load (Total)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070419253770874785,-0.1924271740704516,0.0,0.0,0.0,0.10419970017883971,2.472640832856e-07,0.0,0.0,0.0,0.0,0.0,5.6008056268232576,1.3211122778991153,0.0,0.0,0.0,4.3045648083146085e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5739854085657405,-4.7075163168216005e-06,0.22699282108010704,0.0,0.799519703187078,-6.4751697357715985,7.0039859310330295,0.528816195261431,9.170522296812923,9.970042
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006324274359796657,-0.17123907128233334,0.0,0.0,0.0,0.18339943276717363,2.438718306426e-07,0.0,0.0,0.0,0.0,0.0,5.593812904203446,1.3211122271920999,0.0,0.0,0.0,4.254444285264319e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5714027673558635,-4.681945332030101e-06,0.22549347545133866,0.0,0.5781997059766761,-6.666322766032692,7.101041512425923,0.43471874639323144,9.165020294023323,9.743219999999999
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005207065058999462,-0.04974903020254743,0.0,0.0,0.0,0.21499958020386029,2.381106598381e-07,0.0,0.0,0.0,0.0,0.0,5.5242806607088495,1.3211122611759327,0.0,0.0,0.0,4.257760585324821e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5677453497315899,-4.6177872233239e-06,0.22399394000138428,0.0,0.9563097047672936,-6.762351391669666,6.656584264176679,-0.10576712749298713,8.701818295232709,9.658128000000001
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004029474819114806,-0.060371056041083296,0.0,0.0,0.0,0.21499957834888875,2.357553446512e-07,0.0,0.0,0.0,0.0,0.0,5.479188659708287,1.3211122669116646,0.0,0.0,0.0,4.2414940279906835e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.566350891321281,-4.6064006314042e-06,0.22389391010093884,0.0,0.6024796038927783,-6.913675568325454,6.895139634994168,-0.018535933331286288,8.730663396107222,9.333143
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034923234614601065,-0.07271290205732736,0.0,0.0,0.0,0.2149995778217887,2.358935930769e-07,0.0,0.0,0.0,0.0,0.0,5.4006671909238655,1.3211122676803675,0.0,0.0,0.0,4.2199666877364734e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5629160506097006,-4.5964836821652e-06,0.22389396395238198,0.0,0.5297596676752359,-7.0648198508501565,6.829966096567042,-0.23485375428311453,8.419510332324764,8.94927
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003291990170176367,-0.0754069355027829,0.0,0.0,0.0,0.21499957726038185,2.360277619706e-07,0.0,0.0,0.0,0.0,0.0,5.354519519261833,1.3211122669148774,0.0,0.0,0.0,4.187397991923464e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.560600058750421,-4.597568048218501e-06,0.22389400671405676,0.0,0.5557596095501256,-7.153984360239146,6.720927654162301,-0.4330567060768453,8.169949390449874,8.725709
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02027677856024052,-0.06948076053296633,0.0,0.0,0.0,0.21499957563798527,2.355261073032e-07,0.0,0.0,0.0,0.0,0.0,5.339281349217837,1.3211122632275059,0.0,0.0,0.0,4.18042708026183e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5577853922857259,-4.61889352646e-06,0.2238940425831649,0.0,0.680289664070791,-7.2351004320561305,6.5148205351245645,-0.7202798969315664,7.887584335929208,8.567874
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033124603806997784,-0.060095645201063634,0.0,0.0,0.0,0.21499957785474316,2.3608468776009999e-07,0.0,0.0,0.0,0.0,0.0,5.353377166272278,1.3211122733731102,0.0,0.0,0.0,4.185984762419652e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5586035578179305,-4.5998892984049e-06,0.22389408375069772,0.0,0.5007396707627605,-7.248213304709584,6.695285404808751,-0.5529278999008329,8.09208332923724,8.592823000000001
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008744539051244863,-0.06511212824920226,0.0,0.0,0.0,0.21499957925127972,2.362939829248e-07,0.0,0.0,0.0,0.0,0.0,5.150393356823585,1.321112288828347,0.0,0.0,0.0,4.2172137595580916e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41910940231171606,0.0,0.0,0.0,0.321726751403799,1.550368406728487,-4.6266764358007e-06,0.22389399564359627,0.0,0.4053997901746616,-7.343673856661199,6.717090396123177,-0.6265834605380214,7.769942056109826,8.916178000000002
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10357813834374907,-0.24070350075488647,0.0,0.0,0.0,0.21499961463944128,2.456892465672e-07,0.0,0.0,0.0,0.0,0.0,3.059473293097175,1.3211120069122817,0.0,0.0,0.0,4.232513729478365e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5347896553130127,0.0,0.0,0.0,1.725497741354066,0.7416009028386186,-6.084657282856e-06,0.22389239181553922,0.0,0.35942990788884716,-5.972146252094141,6.319258991023329,0.3471127389291887,5.771059695444076,9.390777000000002
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4442592471442407,-1.333938163730924,0.0,0.0,0.0,0.21499960238755875,2.355066348903e-07,0.0,0.0,0.0,0.0,0.0,3.156426956573568,1.3211119352057996,0.0,0.0,0.0,4.225678391246688e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252049703950869,0.0,0.0,0.0,3.0493777758224128,0.6722022973990207,-7.3891613497335e-06,0.22389121419234126,0.0,0.41671989909030616,-5.796017013530191,5.111141750941844,-0.6848752625883481,4.014070621136413,9.732218000000001
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34707101657496336,-0.5160208425637706,0.0,0.0,0.0,0.21499961715685345,2.453707178989e-07,0.0,0.0,0.0,0.0,0.0,3.2358138504730802,1.3211119524915733,0.0,0.0,0.0,4.245831832384494e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6732195996107584,0.0,0.0,0.0,2.9838257011560954,0.8302699971672521,-7.3662258304996e-06,0.2238916694152114,0.0,0.9567297904582636,-5.821121210811596,3.717820030242116,-2.10330118056948,3.5538289087748827,10.167603999999999
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39523987207637856,-0.7077338473659519,0.0,0.0,0.0,0.21499965395152454,2.629571049843e-07,0.0,0.0,0.0,0.0,0.0,3.3024390694849646,1.321111947483528,0.0,0.0,0.0,4.250670178205555e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7493694201466052,0.0,0.0,0.0,3.5852256287090545,0.7155689919329631,-7.2472234942424e-06,0.22389171641062608,0.0,0.6750098476811383,-6.011969022322258,4.056326757826238,-1.9556422644960212,3.5098681034632047,10.519473000000001
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002060416314137139,-1.18501982842117,0.0,0.0,0.0,0.2149995845112865,2.361919298461e-07,0.0,0.0,0.0,0.0,0.0,2.599087752619895,1.3211119707073467,0.0,0.0,0.0,4.253097353321087e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58149963357864,0.0,0.0,0.0,2.837327829321081,0.4159201932900472,-6.3151697600764e-06,0.2238900258172067,0.0,0.9560697451679526,-5.305951155429665,5.644326337822131,0.33837518239246583,3.9285647919323257,10.303462
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020779514621304602,-1.0924128726156985,0.0,0.0,0.0,0.21499958870217592,2.392654565077e-07,0.0,0.0,0.0,0.0,0.0,3.043284077173273,1.3211119877642132,0.0,0.0,0.0,4.2554053193035856e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.056269491899166,0.0,0.0,0.0,2.7172454607822067,0.5658581947747008,-6.220774179567e-06,0.22389014005642707,0.0,0.6220297903868673,-5.694184182923562,6.08392356207237,0.3897393791488075,4.6666722569317605,10.062217
