Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,991087925.8616245,608442013.1106726,373530615.8596621
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,484735929.37057674,297585811.50799435
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,51829014.03033885
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,944926950.0,490430575.9669924,173825239.09992066,86403648.77307782
Fixed Operation,0.0,538971394.8144494,457946255.1993812,252297838.64528894
Trading,-44371876.533912,-323739920.2155903,-55109767.90173475,35798412.357589506
