Month,Switzerland,Germany,Italy,France,Austria
1,69.01084113656643,88.81592227847605,66.34396875165635,41.078319837521335,78.90585330623998
2,60.48078108985279,76.34403230824246,59.81878794213916,31.83148658610309,53.37884949974998
3,30.106282049820937,36.41554822678964,30.27013779957458,20.16043222885381,29.333485020312246
4,14.491665202264302,15.332638789161283,14.994016819525553,14.151478307449146,12.443791284236985
5,11.072020826688469,10.98151627421608,12.155527837122762,11.817716196004843,10.659297119462686
6,11.011264382226184,10.657692609947269,12.759379086175452,12.373843394575337,11.245407050484951
7,11.125886119647637,11.587277268520264,13.35620679152862,11.577615711989731,11.429805590003713
8,13.836185078216737,13.597039597725427,15.687655713441323,13.972265702595829,13.054461927502356
9,21.582294907331992,21.229949704428567,23.151703493396482,20.020658376112568,21.587247223993028
10,41.570255861682284,54.78240674683643,42.685965824423505,24.29654956347699,50.43605008889391
11,58.64987224787292,64.32294832058807,59.2405263164735,34.21301110017869,67.68783806723759
12,69.26701568292123,106.20928786391532,61.56488035114016,29.832880880603557,94.28371914140027
