Hour,Battery,Battery (Load),Biogas,Biomass,CAES,CAES (Load),CSP,Coal,DAC (Load),DSM,DSM (Up),EMob Shift,EMob Shift (Up),Gas CC,Gas CC-CCS,Gas CC-Syn,Gas Other,Geothermal,Geothermal-Advanced,HP Shift,HP Shift (Up),Hydro Dam,Hydro RoR,LAES,LAES (Load),Lignite,Load Shed,Load Shed Ind,Marine,Methanation (Load),Nuclear,Oil,Other NonRES,Other RES,P2G2P,P2G2P (Load),PV Agri,PV Alpine,PV Facade,PV Highway,PV OpenField,PV Roof,Pump,Pump (Load),Waste,Wind Offshore,Wind Onshore,Exports,Imports,Imports (Net),Load (Net),Load (Total)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069816069018645305,-0.17886483842592366,0.0,0.0,0.0,0.11117968799240409,2.699522919694e-07,0.0,0.0,0.0,0.0,0.0,5.604669837558408,1.3211123054339406,0.0,0.0,0.0,2.6607026855861002e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5747514337074955,-4.4795146522347995e-06,0.22699117594357668,0.0,0.7995197284992142,-6.487370410743913,7.008775691349962,0.52140528060605,9.188222271500788,9.987742000000003
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006301064292759283,-0.17501595810459067,0.0,0.0,0.0,0.19235941649420824,2.524417277336e-07,0.0,0.0,0.0,0.0,0.0,5.581128821087227,1.321112253328227,0.0,0.0,0.0,2.630431587375052e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.572470526462534,-4.44735188516e-06,0.22549183364658604,0.0,0.5781997317091778,-6.6567967383096605,7.115223253078541,0.45842651476888024,9.182270268290821,9.76047
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00535773288984218,-0.04461177633157522,0.0,0.0,0.0,0.22269956857108442,2.3849646327019997e-07,0.0,0.0,0.0,0.0,0.0,5.512813070423569,1.321112282632913,0.0,0.0,0.0,2.6321437851217282e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5685700796800863,-4.3961452332983e-06,0.22399237545867032,0.0,0.9563097306979146,-6.759724268292228,6.668513370687108,-0.09121089760512041,8.718718269302085,9.675028000000001
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004414871951861071,-0.0546216161799701,0.0,0.0,0.0,0.22269956674665223,2.364126192444e-07,0.0,0.0,0.0,0.0,0.0,5.473346045818622,1.3211122885322062,0.0,0.0,0.0,2.6237196463851903e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5665271321961018,-4.3859676537547e-06,0.22389237462032174,0.0,0.6024796390882188,-6.913730036300756,6.90299689226892,-0.010733144031835763,8.746633360911781,9.349113
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003931404998311681,-0.0709310306599792,0.0,0.0,0.0,0.22269956427101295,2.363183868713e-07,0.0,0.0,0.0,0.0,0.0,5.395740302650711,1.3211122833174134,0.0,0.0,0.0,2.6122790266690657e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5629921266533187,-4.3978618664787e-06,0.22389244556498308,0.0,0.5297596955742033,-7.062139571770256,6.837426949973111,-0.2247126217971454,8.434720304425797,8.96448
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037717273480123107,-0.07020968793450695,0.0,0.0,0.0,0.22269956248326842,2.3606452475739998e-07,0.0,0.0,0.0,0.0,0.0,5.3812068505415445,1.3211122776545952,0.0,0.0,0.0,2.5913443171842756e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5601998718437748,-4.4160290506311e-06,0.22389250027540386,0.0,0.5557596420040799,-7.168909820269133,6.711170265229394,-0.4577395550397387,8.184929357995923,8.740689000000001
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03253750511752105,-0.06411066714651187,0.0,0.0,0.0,0.2226995608614528,2.3567584498590002e-07,0.0,0.0,0.0,0.0,0.0,5.33141945042079,1.3211122732080505,0.0,0.0,0.0,2.588151861480776e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5576498503741656,-4.4401504402918995e-06,0.22389255157892798,0.0,0.6802896913345544,-7.24121344744176,6.517511445593891,-0.7237020018478688,7.901494308665446,8.581783999999999
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03364332997787692,-0.05997121889217805,0.0,0.0,0.0,0.22269956276711,2.363778636293e-07,0.0,0.0,0.0,0.0,0.0,5.347448871573917,1.321112281449011,0.0,0.0,0.0,2.591402426789365e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5585513373368582,-4.4299138717342e-06,0.22389261234117888,0.0,0.5007396971697444,-7.245302666419019,6.702263395653687,-0.5430392707653319,8.104333302830256,8.605073
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001053444977280316,-0.06536581513931913,0.0,0.0,0.0,0.22269956162736704,2.358413049048e-07,0.0,0.0,0.0,0.0,0.0,5.146051026792313,1.3211122847568522,0.0,0.0,0.0,2.605127074709167e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4192695175852677,0.0,0.0,0.0,0.3217267852829057,1.5461645823864818,-4.4770976164464996e-06,0.22389246108699729,0.0,0.4053997570451295,-7.338992773840973,6.725171428993441,-0.6138213448475308,7.781781940086699,8.928178
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10150368748758525,-0.2982389901935173,0.0,0.0,0.0,0.22269959966039599,2.511497412537e-07,0.0,0.0,0.0,0.0,0.0,3.058833726984746,1.3211119658529737,0.0,0.0,0.0,2.614539445264673e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5352997141981117,0.0,0.0,0.0,1.7254777809010045,0.7418345207126379,-6.4959100104692e-06,0.2238899837363947,0.0,0.35942991185592343,-5.9331242758982645,6.3520056426218545,0.41888136672358994,5.790509593044962,9.410717
