,0
0,-6406.509903763735
1,-6514.718427851623
2,-6631.849892392318
3,-6824.810901139517
4,-6995.775877826784
5,-7078.373514111261
6,-7130.946021215383
7,-7133.513879954705
8,-7277.572302963553
9,-5819.174839688001
10,-5884.422635304017
11,-5895.973990196694
12,-5997.791085333812
13,-5353.874914193799
14,-5593.523186680763
15,-7060.50717506892
16,-6347.166109496138
17,-6223.511255493007
18,-6436.562214705825
19,-6701.535475920268
20,-7051.851060541398
21,-7004.597523888146
22,-6537.247704253857
23,-6650.7483277915235
24,-6792.719645969042
25,-6842.223967432538
26,-6884.732102083065
27,-7124.489644011442
28,-7351.136486306126
29,-7442.463495057576
30,-7654.34973159428
31,-7732.627401954962
32,-7701.9034907397145
33,-7579.76198555723
34,-5853.99346915173
35,-6299.9955560691305
36,-7292.342960739889
37,-7507.820277640462
38,-7550.123948906004
39,-7380.693820730295
40,-7060.263180433149
41,-6933.155548631222
42,-7202.4395108847575
43,-7195.641437864671
44,-7326.179129067251
45,-6926.41458940591
46,-6906.415991345795
47,-6934.684586815561
48,-6651.670336480309
49,-6441.39751451997
50,-6624.577977041904
51,-6525.473045544552
52,-6481.204433036714
53,-6548.396789509921
54,-6477.3400277202
55,-6456.9094719072555
56,-6380.021939884731
57,-4178.76814694082
58,-4580.585000537983
59,-4330.523605910224
60,-4171.11799183092
61,-4608.204356389554
62,-6322.832023334251
63,-6197.069543173953
64,-7523.346196547657
65,-6137.80680432698
66,-6182.142077357323
67,-6096.865554955262
68,-6328.360099689141
69,-6199.3688344566635
70,-6494.232216198148
71,-6503.456545900575
72,-6241.736489482365
73,-6292.338167244219
74,-6563.656669718409
75,-6696.796035603825
76,-6886.536040797559
77,-6939.313294307828
78,-6999.82444645539
79,-6581.273694278825
80,-4591.709018521233
81,-4875.8446898515085
82,-5112.424911159615
83,-6233.161196478897
84,-6137.375362657239
85,-5488.3519684641
86,-4741.0958299987315
87,-6986.821548902183
88,-7047.476640300346
89,-7132.856093213666
90,-7199.218604640335
91,-6941.624963397063
92,-7161.912964306174
93,-7293.214320883291
94,-7125.125514465342
95,-7181.7210833388235
96,-7821.033655262492
97,-6899.422701596004
98,-6996.727944505299
99,-6974.751267601161
100,-7077.015055858725
101,-7017.411580668453
102,-7343.934135132382
103,-7079.601755856462
104,-6369.682730944496
105,-5693.853081912821
106,-6005.260158358884
107,-5849.657787762564
108,-5735.585869100605
109,-5668.628381997752
110,-6811.731574503949
111,-7206.347457322056
112,-6981.006414633532
113,-7129.469719393679
114,-7019.9285392598085
115,-6218.850731965933
116,-6280.299045837042
117,-6193.059010508903
118,-6431.215131192217
119,-6666.923339902219
120,-6668.51906566915
121,-6294.326926227652
122,-6330.5901494121545
123,-6489.941256486574
124,-6587.054832754935
125,-6398.44555889491
126,-6383.758208285029
127,-6282.632232215791
128,-6423.909549231167
129,-6330.22410413051
130,-6175.46880483756
131,-6205.568204475606
132,-6409.880979241912
133,-6479.836929978532
134,-6319.27840328047
135,-6326.10625227024
136,-6400.769235221584
137,-6438.23364644631
138,-6308.505819706137
139,-6278.0951675591905
140,-6458.046232589948
141,-6420.5594308185755
142,-6486.847564826415
143,-6548.046226462099
144,-6276.708886053084
145,-6283.126918877222
146,-6180.149730932813
147,-6383.218462616462
148,-6306.1120453674375
149,-6374.27226181733
150,-6465.96174281399
151,-6183.186853632649
152,-6063.750086884289
153,-4271.0426320687275
154,-4006.3657980232606
155,-4262.903394116845
156,-4477.511629625371
157,-4368.979445233359
158,-4438.282557052778
159,-6244.288305296906
160,-6451.26823574729
161,-6727.777458935014
162,-6563.1934136115615
163,-6554.57095674632
164,-6592.3938712126155
165,-7310.554769325373
166,-7542.443559187605
167,-6684.597597858354
168,-6240.149307204715
169,-6066.820728192728
170,-5948.0263747227145
171,-5964.773863554446
172,-6971.047046671095
173,-7563.778807525384
174,-7441.921348632026
175,-7210.0973401225
176,-7190.16031511089
177,-6299.844114680792
178,-4366.3093771538315
179,-4075.0993355744727
180,-4126.615003072024
181,-4869.3221783313475
182,-6427.552056098244
183,-6285.252615381931
184,-6959.452068771036
185,-6852.652356992384
186,-6809.220951241266
187,-6752.060904985573
188,-6850.220352032309
189,-7126.043623709066
190,-7296.717387967898
191,-7373.367159136794
192,-6919.517612457671
193,-6952.919295932887
194,-6990.391145174994
195,-7092.476846148999
196,-7038.148924140652
197,-7013.113834693499
198,-7011.648198717785
199,-7101.091204053478
200,-5186.409470010072
201,-4583.833996104179
202,-4316.532191491786
203,-4062.9933990692066
204,-4215.1400597579795
205,-4646.719753194604
206,-4445.45486696165
207,-6143.984828586966
208,-6927.33024670964
209,-6772.043319475646
210,-6656.519282034356
211,-6726.133647845877
212,-6887.307106826041
213,-7237.4217143603555
214,-7299.8945935148595
215,-7546.817759465905
216,-7188.7253175820115
217,-7183.831033354436
218,-7387.198794894849
219,-7609.7371819873415
220,-7660.598578441082
221,-7722.768448153941
222,-7576.62562615545
223,-7031.286616746104
224,-6577.809195682166
225,-4656.071310743067
226,-4532.172652707418
227,-4440.468168590029
228,-4369.035450515199
229,-4364.513034366796
230,-4277.535529872375
231,-6545.742410917201
232,-6778.9801517368105
233,-6697.94671498075
234,-6463.266904445727
235,-6308.351522065193
236,-6415.519473811173
237,-6670.6419175237625
238,-6796.429868500787
239,-6745.661229895378
240,-3989.975758486905
241,-4035.3715554137048
242,-4060.3828272470546
243,-4079.662066684829
244,-4204.467286923463
245,-4193.0866620147735
246,-4650.9530751574675
247,-5941.561839841424
248,-3448.6807208494647
249,-3408.426203244585
250,-4357.224648819857
251,-4866.6684213424605
252,-5053.735430997724
253,-4821.68857936812
254,-5558.633719674521
255,-4067.198250658402
256,-3584.792088799346
257,-3555.2169608444583
258,-3420.694115539828
259,-3268.1839536716725
260,-3405.7271562033775
261,-3569.6385552838256
262,-3736.4446190723547
263,-3838.162958880139
264,-3019.515063126317
265,-2901.402500988421
266,-3023.9087058577197
267,-3041.986586217537
268,-3061.348382652445
269,-3041.634148507723
270,-3022.0023693171033
271,-2761.7707944537324
272,-2698.581550043602
273,-3688.68034343118
274,-4502.128670242992
275,-4475.307621003155
276,-4576.709674036174
277,-4556.456966494288
278,-4428.305612199307
279,-4121.015977735928
280,-3538.845589342543
281,-3615.731578745954
282,-3493.400237086084
283,-3477.7274861912274
284,-3559.80132890778
285,-3697.326852935302
286,-3426.889131408282
287,-3909.004155079667
288,-3108.833778892438
289,-3096.0639550838164
290,-3196.7609809120554
291,-3221.08773622483
292,-3458.8372770366777
293,-3677.8097908053487
294,-3681.292592059284
295,-3150.2784105272376
296,-1699.9989999547035
297,-3519.6030633076375
298,-4553.77420954869
299,-5312.275994388735
300,-6948.103658817534
301,-6129.12901016959
302,-4425.065587806697
303,-4316.863785538791
304,-3484.1946853672944
305,-2995.9512784874446
306,-2245.466476260046
307,-3177.2530844551707
308,-3630.578738879315
309,-3720.5286336808185
310,-2982.0364148666804
311,-3075.406700860668
312,-6473.8891838506215
313,-6484.077308617276
314,-6546.966762606072
315,-6567.159136405634
316,-6676.2244989618
317,-6397.87716364496
318,-6685.711896158041
319,-6631.834746554773
320,-6632.919270767684
321,-6624.010301846818
322,-6556.5733385813255
323,-6834.508293094524
324,-6768.819534745944
325,-7051.334968515982
326,-6672.4738298453585
327,-6272.9081995735
328,-6348.4281653219205
329,-6288.375456634887
330,-6148.6852752013165
331,-6215.7919934050315
332,-6357.354887100303
333,-6332.961120846938
334,-6584.0321548588445
335,-6454.0717589429505
336,-6465.342283642694
337,-6230.268165994781
338,-6344.249357023255
339,-6426.105903089103
340,-6341.223658504596
341,-6389.761081956682
342,-6481.181686591341
343,-6255.27825184308
344,-6299.7432302494
345,-6235.087131777621
346,-5569.327291198478
347,-4416.816215188014
348,-5088.379136047525
349,-7429.7763389372485
350,-6659.5228611552575
351,-6380.13318147644
352,-7329.220236400268
353,-7290.121647964334
354,-7120.559176391993
355,-6325.000746989786
356,-6441.111697744487
357,-6552.344702231119
358,-6791.938040063735
359,-7022.208294183467
360,-6570.812754404544
361,-6462.597691092069
362,-6445.627671203026
363,-6467.815825578742
364,-6695.092067880172
365,-6859.070329688624
366,-6820.529420598312
367,-6565.084940753452
368,-6707.917867217568
369,-7199.025277090204
370,-5822.662419538033
371,-5037.985967797605
372,-5790.953480587343
373,-5446.524211327801
374,-7156.161273021389
375,-7075.9213634709995
376,-6503.219650463439
377,-7122.719734312086
378,-6034.983525896777
379,-6253.991277727178
380,-6147.363689512364
381,-6652.565361632397
382,-6438.913745182584
383,-6765.162825248762
384,-5654.885264286844
385,-5649.719782130773
386,-5698.210969837255
387,-5794.281271717092
388,-6024.0989013903745
389,-6271.097841748536
390,-6482.717041369178
391,-6289.9430474586925
392,-4732.356735676342
393,-5997.905801113233
394,-5181.494075406679
395,-4725.460329988785
396,-4786.65397997608
397,-4586.818509972821
398,-6378.241887250364
399,-6005.163315650965
400,-5309.3146732392015
401,-5351.258790319486
402,-5403.160578291913
403,-5112.284537284533
404,-5122.350955600257
405,-5365.715370644217
406,-5547.908935963036
407,-3844.1385205124557
408,-3307.307089973786
409,-3205.6368331065805
410,-2713.358377487133
411,-2947.9053336859297
412,-3070.0656294693877
413,-2914.982370947235
414,-3420.632398834765
415,-2305.4300649517695
416,-2930.098175014136
417,-4742.333804673801
418,-4935.43865986427
419,-5504.208033686902
420,-4661.467516279132
421,-4566.347952521197
422,-4367.446726076034
423,-4114.36286369986
424,-3492.9839510360407
425,-3610.5145921954154
426,-4748.30312853323
427,-4568.019242860266
428,-4495.617716482244
429,-3393.8370677855205
430,-3244.892764064487
431,-3272.152918621741
432,-3251.197422228961
433,-3143.845710556852
434,-3106.578808237289
435,-3065.015330349962
436,-3025.1134506225753
437,-2965.6414919229846
438,-3088.1245050806883
439,-3456.033432425218
440,-3741.692337353446
441,-4132.448534906838
442,-5137.897698585456
443,-4791.911295415173
444,-5166.655662506794
445,-5174.759793816808
446,-5028.714537225081
447,-4187.4113758907115
448,-3387.341150221124
449,-3283.705087122918
450,-3240.16276735765
451,-3237.914891275146
452,-3409.3744244204586
453,-3306.5665356757336
454,-3076.096683188459
455,-3108.6656614450776
456,-2723.6049855585675
457,-2644.609941525266
458,-2637.9596498931332
459,-2866.433716697243
460,-2794.8425503710014
461,-2803.1555635268833
462,-2782.600777130146
463,-2953.7969197592515
464,-3203.775401674049
465,-4237.62939383563
466,-4802.38013327411
467,-5208.20323114223
468,-5180.304122973285
469,-5046.276520894508
470,-4819.908453876989
471,-3718.5121626234336
472,-1779.6487025483516
473,-1699.9982053763392
474,-1699.9977173177986
475,-1699.9976523490336
476,-1699.9978943839374
477,-1980.1596838982546
478,-3226.7592520972685
479,-2671.312675390237
480,-1756.8498251972105
481,-2497.761284847631
482,-2589.8295817288995
483,-2781.142316101459
484,-2488.411012053027
485,-3108.0592702369618
486,-3294.8596514870724
487,-2998.403435230185
488,-3874.5809868554297
489,-5469.853288525192
490,-6419.221154102619
491,-6657.227394832709
492,-6458.776661431437
493,-6491.384445258719
494,-6636.468413766172
495,-2180.884731854432
496,-2734.439601634641
497,-1968.247218155902
498,-1699.999258807652
499,-1699.9992703146443
500,-1861.1809730591951
501,-2444.902607606819
502,-2992.6808146916305
503,-3061.5633204513742
504,-1699.99928062385
505,-1448.2242511048494
506,-1798.2969064755682
507,-2824.9990654565645
508,-4509.802261673523
509,-4605.163730031338
510,-4641.725859210084
511,-6235.959252367777
512,-4423.2246152486405
513,-3416.672804484823
514,-4212.816849791749
515,-1215.9315662209983
516,-1336.370732155882
517,-2352.143097603702
518,-5689.226436277095
519,-4581.127558534032
520,-3056.0066161483373
521,-2668.9705903637887
522,-1699.9994059540554
523,-1699.9993541619497
524,-1699.9993448450796
525,-1699.999333928533
526,-1805.7087376293812
527,-1969.9090393807728
528,-3293.3175990477293
529,-3501.0443684389893
