,0
0,-6406.175192579768
1,-6514.2998697231415
2,-6633.131137485993
3,-6824.885595721471
4,-6995.961239746787
5,-7078.475482802334
6,-7130.990904589737
7,-7133.509000462091
8,-7277.503205541591
9,-5818.756641949931
10,-5884.682357719248
11,-5895.903934036152
12,-5997.7420033157105
13,-5350.983786862558
14,-5593.083216558751
15,-7060.450296679528
16,-6346.788183868646
17,-6222.886429821646
18,-6435.985229010026
19,-6703.193118355735
20,-7053.067506234132
21,-7005.466798967853
22,-6536.879621529505
23,-6652.682480673163
24,-6792.6192304236465
25,-6842.103112101952
26,-6884.606318668447
27,-7125.622666257258
28,-7351.077272787306
29,-7442.452313306152
30,-7654.118064091008
31,-7732.865283858577
32,-7701.820530853919
33,-7579.8089930831
34,-5854.058115418517
35,-6299.99599001347
36,-7292.122422241935
37,-7507.624377492741
38,-7550.415737620613
39,-7380.673267258871
40,-7059.852647978081
41,-6932.542094791274
42,-7203.689748444067
43,-7196.212175058992
44,-7326.65595973585
45,-6926.053881893802
46,-6906.479776335922
47,-6934.597674597763
48,-6651.702714911574
49,-6441.4012323744355
50,-6624.56853149212
51,-6525.453673182583
52,-6481.1671674951085
53,-6547.085944048567
54,-6477.337837399954
55,-6457.035130833094
56,-6380.014859119789
57,-4178.771382764322
58,-4580.687346036085
59,-4330.470339696384
60,-4171.100864014386
61,-4608.079193542913
62,-6322.851969940706
63,-6197.043662311205
64,-7523.436473964226
65,-6137.566043356709
66,-6181.503184597857
67,-6095.7093474941485
68,-6330.563740911769
69,-6199.249737217564
70,-6494.621182034786
71,-6503.5636553646345
72,-6241.738636439866
73,-6292.360850691218
74,-6563.6081959201765
75,-6696.597358285553
76,-6886.873433946541
77,-6939.43562491416
78,-6999.932190558962
79,-6581.176420546314
80,-4591.758393039366
81,-4875.865830995458
82,-5112.521351609484
83,-6231.748989052463
84,-6137.471419105717
85,-5489.073040874358
86,-4741.368959573958
87,-6986.695233085242
88,-7046.385846679941
89,-7133.54429301458
90,-7200.35514299634
91,-6940.163808392186
92,-7163.303034999688
93,-7294.251424916409
94,-7124.495075872857
95,-7181.009777200366
96,-7821.053429410926
97,-6899.636863350239
98,-6996.820189471864
99,-6974.849213282547
100,-7077.2634801119075
101,-7017.401682173592
102,-7343.792986208165
103,-7080.155255753765
104,-6369.747734693584
105,-5693.858759624957
106,-6006.1162396009295
107,-5850.202579941856
108,-5734.055698224518
109,-5668.300014938448
110,-6811.821629772422
111,-7206.278449712585
112,-6980.241341985897
113,-7130.386626963458
114,-7020.118609752124
115,-6218.232622256252
116,-6279.826864942548
117,-6193.155148818367
118,-6430.629530429069
119,-6666.855885026134
120,-6668.72794946224
121,-6294.113467376392
122,-6330.562965744778
123,-6489.910949624089
124,-6587.023644533874
125,-6398.4221172574935
126,-6383.732744760289
127,-6282.696498937343
128,-6423.974094846528
129,-6330.243401740726
130,-6174.682161438024
131,-6205.43347288256
132,-6409.48224772233
133,-6481.197683077347
134,-6319.316406986223
135,-6326.134458830844
136,-6400.034498436948
137,-6437.697103801096
138,-6307.823047820946
139,-6278.564018204028
140,-6459.103487088201
141,-6420.445787715677
142,-6487.33438519054
143,-6548.2893609594885
144,-6276.833888986538
145,-6283.170997541533
146,-6180.206449883511
147,-6383.2220978442765
148,-6306.150501327877
149,-6374.302599295752
150,-6465.988660574369
151,-6183.192770048141
152,-6063.795063824201
153,-4271.318455244366
154,-4006.207068381731
155,-4262.3231718260395
156,-4477.874141443328
157,-4369.287737277376
158,-4438.239088872295
159,-6244.317104208453
160,-6451.274288701029
161,-6727.493736003156
162,-6562.809057247202
163,-6554.805591527715
164,-6591.191206185854
165,-7310.846053157941
166,-7542.738040093697
167,-6684.864948867977
168,-6239.238717892677
169,-6065.751311229154
170,-5948.163493730384
171,-5964.593781208142
172,-6971.690984521283
173,-7565.85089997279
174,-7441.949362364907
175,-7213.169586700071
176,-7189.843133691282
177,-6299.85704002118
178,-4366.166759867876
179,-4075.0710458391213
180,-4126.580164445785
181,-4870.631984773577
182,-6427.58489565044
183,-6285.264753048322
184,-6958.952206493508
185,-6852.589038297091
186,-6807.653000472063
187,-6751.045526582124
188,-6850.444409554613
189,-7126.806741736211
190,-7297.152822075279
191,-7373.309387085588
192,-6913.953991037395
193,-6945.61364110182
194,-6994.125735314585
195,-7089.595561496366
196,-7044.706611438085
197,-7017.373801265867
198,-7013.294352813458
199,-7101.823022410985
200,-5186.039597511331
201,-4583.7970913006375
202,-4316.396745526886
203,-4062.954752309733
204,-4215.095428213378
205,-4646.6654727827845
206,-4445.464347445106
207,-6143.972365758673
208,-6927.413344077364
209,-6771.980461110862
210,-6656.0215662083065
211,-6725.980297993958
212,-6886.82818709136
213,-7238.126464335528
214,-7300.383390986041
215,-7547.540674209868
216,-7188.248951765294
217,-7183.1739155815885
218,-7388.161882079754
219,-7608.457528015162
220,-7661.188342407714
221,-7723.064413401069
222,-7577.120052249117
223,-7031.559790332213
224,-6578.00593902811
225,-4656.0875278679805
226,-4532.193911515414
227,-4440.444285050186
228,-4368.992195191299
229,-4364.431678859096
230,-4277.589988760231
231,-6545.683269360643
232,-6779.046068691005
233,-6698.069817684539
234,-6463.406687081191
235,-6308.08040209759
236,-6416.120029830822
237,-6671.183927608623
238,-6796.294990503469
239,-6745.613628922538
240,-3990.2795784930067
241,-4035.8992489118027
242,-4060.9650522175625
243,-4080.268592507836
244,-4205.177510423153
245,-4193.817091407669
246,-4654.33520744808
247,-5941.501711817613
248,-3447.0121578582166
249,-3408.581627258006
250,-4357.294083093391
251,-4866.558329126345
252,-5053.650406145206
253,-4821.55170110198
254,-5558.589688071554
255,-4067.598854791311
256,-3584.015209318688
257,-3555.197018451604
258,-3420.0356084432688
259,-3267.4277869718144
260,-3405.8646901055595
261,-3568.789466322518
262,-3734.2484797182897
263,-3837.2431038024906
264,-3019.567530436572
265,-2901.132681853846
266,-3023.662346627656
267,-3041.8887333507105
268,-3061.29813231892
269,-3041.469400161024
270,-3021.860536387943
271,-2761.6866515702077
272,-2698.8296175234746
273,-3688.669968513122
274,-4501.332638931326
275,-4474.6325182510545
276,-4576.916373201519
277,-4557.328205370416
278,-4428.242699117797
279,-4121.074648186165
280,-3538.565766684975
281,-3615.4596041637847
282,-3493.146498717215
283,-3477.584991997442
284,-3560.404196736478
285,-3697.5844549544986
286,-3427.16191366747
287,-3911.2114604258077
288,-3108.995942218902
289,-3094.924572733092
290,-3196.4711251697954
291,-3220.9563837955784
292,-3458.7176858309713
293,-3677.6957709490052
294,-3681.175445981361
295,-3148.8951457109088
296,-1699.998979178802
297,-3518.8937007277104
298,-4553.828680066759
299,-5309.535485316715
300,-6949.823968128179
301,-6131.353965361577
302,-4426.302315701982
303,-4316.900333492717
304,-3482.384980721338
305,-2996.0529494918183
306,-2241.492286761352
307,-3179.661734341583
308,-3632.4169051067674
309,-3721.520470135771
310,-2982.043039761489
311,-3075.184328468914
312,-6473.348603893997
313,-6484.320188762983
314,-6547.139360205396
315,-6567.351549762663
316,-6676.355880350593
317,-6397.367064970353
318,-6685.824121572137
319,-6631.860999108931
320,-6632.977741650111
321,-6623.9645147771025
322,-6556.446862671796
323,-6834.07447719566
324,-6768.202009984295
325,-7051.683018774561
326,-6673.149852372941
327,-6272.893751658752
328,-6348.382346591399
329,-6287.464293620211
330,-6147.984952453383
331,-6215.474281198225
332,-6357.459730777433
333,-6333.807434811161
334,-6584.863170022476
335,-6454.780509542177
336,-6465.326865535684
337,-6230.16454040377
338,-6344.203947333901
339,-6426.197481879168
340,-6341.255015075104
341,-6389.783493910188
342,-6481.206200938069
343,-6255.170875387986
344,-6299.762991786471
345,-6235.080634456617
346,-5569.354137658081
347,-4416.7225246104945
348,-5087.739287192648
349,-7429.826913832712
350,-6659.654850078026
351,-6380.21155459921
352,-7329.6307816642475
353,-7290.705727410451
354,-7122.017869283118
355,-6322.569486366791
356,-6440.956441465863
357,-6551.554222701435
358,-6791.6328968369935
359,-7024.927445407931
360,-6570.307592756455
361,-6461.913610846614
362,-6444.669218284447
363,-6466.709246925389
364,-6693.837632886371
365,-6859.147249846681
366,-6820.393341601732
367,-6569.2404629340535
368,-6707.168728549093
369,-7199.05963802646
370,-5822.60173401515
371,-5037.674310902743
372,-5791.180397400401
373,-5446.428938738042
374,-7155.993351765117
375,-7075.945295754212
376,-6504.175995784264
377,-7126.43607260032
378,-6034.861812340063
379,-6256.621016574943
380,-6147.825869978252
381,-6647.86014454165
382,-6436.239417856442
383,-6766.27135824842
384,-5657.536180410872
385,-5650.652003948275
386,-5697.153200143816
387,-5795.9422550196505
388,-6024.011228601314
389,-6269.847186922739
390,-6482.7312438486115
391,-6289.1344731813715
392,-4731.0545610102245
393,-5997.8438762432515
394,-5181.603570648966
395,-4725.551825737347
396,-4786.463821587303
397,-4586.775801620903
398,-6378.236825492822
399,-6005.10139438557
400,-5304.6169828451875
401,-5352.129590003846
402,-5394.248454367199
403,-5119.33646350394
404,-5125.890349048929
405,-5366.719401746468
406,-5548.266743465862
407,-3844.1373310032723
408,-3307.4166205916654
409,-3205.6145517633254
410,-2713.2710821010037
411,-2948.2075879744907
412,-3070.3949742103814
413,-2914.931694639787
414,-3420.2018798401796
415,-2306.3113835686863
416,-2930.099332335016
417,-4742.292295454624
418,-4935.3416225906385
419,-5504.19624354443
420,-4661.208554454078
421,-4566.319202226275
422,-4367.315460530191
423,-4114.306773620883
424,-3492.929240481894
425,-3610.8260492343443
426,-4748.3106705283735
427,-4568.019455668227
428,-4495.446454577698
429,-3393.848476046547
430,-3244.8326126405464
431,-3272.2050258611175
432,-3251.1835138588835
433,-3143.848387925931
434,-3106.5791777536306
435,-3065.0171915942196
436,-3025.114284132907
437,-2965.629538182206
438,-3088.1341783517996
439,-3456.076411001696
440,-3741.763182490379
441,-4132.467171328103
442,-5137.858166549816
443,-4791.916975182291
444,-5167.711465079974
445,-5173.310156671802
446,-5028.707183150125
447,-4187.4126897983315
448,-3387.305190015225
449,-3283.3445547309693
450,-3239.831520767602
451,-3237.8150770713873
452,-3409.547622934262
453,-3306.645943536495
454,-3076.0869136823076
455,-3108.6146212052327
456,-2723.5650851135147
457,-2644.6655414613642
458,-2637.8624011612187
459,-2866.441630284544
460,-2794.840297654932
461,-2803.156202813217
462,-2782.5968647751056
463,-2953.8062489052863
464,-3203.8017270905684
465,-4237.541907656022
466,-4801.6087244372275
467,-5208.16528649181
468,-5179.98712765287
469,-5047.21786316125
470,-4819.9122671697205
471,-3718.509644735117
472,-1777.6270158414877
473,-1699.9981784610738
474,-1699.9977786864229
475,-1699.9976880302067
476,-1699.9978089713559
477,-1981.5637221486804
478,-3226.6070617820387
479,-2671.312049716558
480,-1756.4073805541611
481,-2500.3363363788408
482,-2589.0990230362604
483,-2780.862479585684
484,-2488.41489569022
485,-3108.1136538379515
486,-3295.6815266149224
487,-2999.379448423465
488,-3874.483289218276
489,-5469.756688973055
490,-6419.247331010895
491,-6656.299644761778
492,-6458.377125518817
493,-6490.825714899844
494,-6638.1112452814705
495,-2180.8463821879986
496,-2733.5433416007336
497,-1968.089809308723
498,-1699.9992527520697
499,-1699.9992749714138
500,-1861.1179638009885
501,-2445.7100511556673
502,-2993.870769584305
503,-3061.783894671221
504,-1699.9992869921343
505,-1448.7406950343634
506,-1799.7698977229456
507,-2824.9880213753995
508,-4509.1038180504365
509,-4604.573496051326
510,-4640.3248341223
511,-6236.110594637112
512,-4422.368254892313
513,-3417.814580788303
514,-4212.812186306381
515,-1215.440325914195
516,-1336.1064581986554
517,-2352.140376266432
518,-5689.049969354845
519,-4580.221691370976
520,-3054.9596423158846
521,-2667.91897490474
522,-1699.9994314769315
523,-1699.999377637776
524,-1699.9993683047346
525,-1699.9993595767055
