Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.764066109445445,0.5458347350886286,2.1899070783444685,2.189917901464416
DSM (Up),-0.764066109445445,-0.545834735088628,-2.1899070783444685,-2.1899179014643764
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8930893725923043,0.19465511630751325,6.671752724883322e-06,0.0
Gas CC-CCS,0.0,0.0,0.1022449326112228,0.733618764604846
Gas CC-Syn,0.0,0.0,0.0,0.003964750763436634
Gas Other,9.67959583542706e-05,5.270301793207402e-06,3.3963261017829563e-06,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,0.0,0.0,0.0,0.0
HP Shift (Up),0.0,0.0,0.0,0.0
Hydro Dam,18.067234833307435,18.07489071045978,17.740650553587066,17.99044449150392
Hydro RoR,17.280789186957488,17.959296330579498,19.259558232989544,19.42304091663799
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,7.403981463970819e-07,5.816227969197178e-07,3.576669421590683e-07,6.539775251261609e-07
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.903298275541246,14.5085553111221,5.050456829006445,0.0
Oil,1.7760871926184261e-06,7.153646681078386e-07,6.391579447810278e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.7316544845122075,6.793072200821095,6.801488825287785
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.598632346979919,19.18856003157866,29.429186366427526,31.980274313527552
Pump,2.9736692945701577,4.940536161979308,7.099720549174522,7.890925659324928
Pump (Load),-0.0772542711922005,-1.7286662467397151,-3.483831327732711,-4.366002835848365
Waste,1.726335711288582,0.4646024352482967,0.09614302113407486,0.9821633104673785
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.18760148245210065,3.0964784144166644,3.089527806301564,3.0707858287576277
Exports,-46.269669035855635,-56.5681072808745,-57.30222623951393,-54.3275930483317
Imports,47.194635308359,43.549494444552636,46.23025112733048,47.775948126475406
Imports (Net),0.9249662725033627,-13.01861283632187,-11.07197511218345,-6.551644921856303
Load (Net),58.65394558356798,41.39526092049247,34.792977555449816,36.10650938342704
Load (Total),61.440179412999996,66.411953851,74.10476392899999,77.95905835100002
