Month,Switzerland,Germany,Italy,France,Austria
1,68.73666885201882,88.83258505437904,66.34999345256675,40.49783160625476,78.83771696848535
2,59.814708814235644,76.10058196148269,59.78832438146665,31.243584025760864,53.23403469813192
3,29.652740265645587,36.328432821340655,30.051876935351586,19.78955955453725,29.187633809225087
4,14.657964652906312,15.29097404650272,14.958831235918337,14.170188143474112,12.413564554414906
5,11.087519139573226,10.959616509287802,12.072231347927486,11.840694289107223,10.63333727963318
6,10.943705376927078,10.647015110407128,12.668533187552814,12.354308653939013,11.214315576615022
7,11.028620424583305,11.558879109439793,13.028150232940835,11.49445527597896,11.36483960898279
8,13.893438062665492,13.576502468915683,15.663680356064743,13.952038575745835,13.030298812021323
9,20.88192399754579,20.39768923572603,22.338215878232116,19.426711240182268,20.79885811536365
10,40.866221710032335,54.27470189257928,42.064145910615366,23.554106530562073,49.922010727368196
11,58.02154635279586,64.26068592251227,59.09095165593505,33.832754051538885,67.50254239992772
12,69.54143090099633,106.16373434638383,61.41617444912136,28.476563384850888,94.24378503218904
