,0
0,-6566.962708015529
1,-6735.2956879565245
2,-6824.08621996151
3,-6980.609593006542
4,-7150.114750654035
5,-7256.13228873127
6,-7304.649700488127
7,-7351.3904567371665
8,-7404.275788290612
9,-6042.484786737085
10,-5791.788274498741
11,-5782.612096003307
12,-5999.870929055062
13,-5406.719876311099
14,-5620.828830019155
15,-7119.800014874656
16,-6467.888277893306
17,-6360.906263199988
18,-6557.863050789083
19,-6846.897582194464
20,-7167.0430209281885
21,-7160.239854096313
22,-6660.464752614708
23,-6787.339340426752
24,-6902.868645661067
25,-6956.058802088949
26,-7027.974063887037
27,-7249.398616849363
28,-7401.154666240205
29,-7532.243612145525
30,-7720.011700213
31,-7780.326099095232
32,-7766.650634571786
33,-7659.272589561109
34,-6169.709923131611
35,-6299.997084025028
36,-7608.543566011245
37,-7646.32771927598
38,-7610.931819036719
39,-7442.560977189812
40,-7207.362881850843
41,-7065.566086109756
42,-7325.727478758203
43,-7303.03581473282
44,-7415.597100353836
45,-6985.879190704312
46,-6965.5725737605735
47,-7000.1219108795185
48,-6564.6173221200925
49,-6485.9453055286
50,-6664.090064573988
51,-6560.265258937259
52,-6564.632619373191
53,-6616.18426802229
54,-6577.515099944008
55,-6761.121732355052
56,-6416.3885186729385
57,-4219.064924288336
58,-4602.738838868484
59,-4364.632381733259
60,-4162.59424793478
61,-4629.928466136711
62,-6379.6823171970345
63,-6253.816263573907
64,-7579.198888288898
65,-6324.879672378025
66,-6222.407916189635
67,-6119.009766162616
68,-6358.885481273948
69,-6823.276422834317
70,-6950.492310297853
71,-6504.539411653448
72,-6287.300190117352
73,-6699.375820869383
74,-6830.75108703823
75,-6914.633445472398
76,-6956.227359598992
77,-7006.976616235611
78,-7062.624016545565
79,-6685.08284712328
80,-4646.141402006646
81,-4904.835978482627
82,-5142.128775032765
83,-6462.979558513698
84,-6285.136025036503
85,-5508.391000645499
86,-4802.489569742259
87,-7048.691283901061
88,-7179.446954906125
89,-7332.412254646786
90,-7326.80771453007
91,-7131.266656813921
92,-7326.2608383303705
93,-7115.1603133439885
94,-7282.977131881879
95,-7337.397773848532
96,-7992.932353524703
97,-6976.922152147124
98,-7131.947485769877
99,-7164.212530858751
100,-7310.033667601818
101,-7259.09097164333
102,-7467.712877363404
103,-7255.317996747481
104,-6501.763794523395
105,-5795.061434809046
106,-6005.473083407305
107,-5671.2803577715
108,-5798.054556814933
109,-5753.194724434188
110,-6876.786723752333
111,-7254.266717687059
112,-7038.520175893856
113,-7245.499641574818
114,-7151.563142420339
115,-6229.663453271681
116,-6306.155163738138
117,-6360.109534093501
118,-6624.992536102204
119,-6832.977287755385
120,-6592.450306307503
121,-6332.925863845938
122,-6389.453197812649
123,-6565.80836862118
124,-6668.166888271319
125,-6570.918836280461
126,-6548.124064888178
127,-6301.9253097390365
128,-6420.171710595978
129,-6371.471393640815
130,-6132.428787370943
131,-6203.458301404473
132,-6396.434838851728
133,-6516.398018313906
134,-6355.011309269217
135,-6418.153126305106
136,-6458.01595487775
137,-6459.76426863099
138,-6350.457710476197
139,-6288.363321217563
140,-6410.68251512831
141,-6403.002176383316
142,-6478.730592889902
143,-6537.605241079874
144,-6480.350027327137
145,-6433.145313017707
146,-6208.092597409161
147,-6415.834257835955
148,-6291.110958882712
149,-6364.353854241741
150,-6478.1421191510135
151,-6194.159351044378
152,-6235.771598889252
153,-4167.448813379668
154,-4066.3056175343286
155,-4439.760909377494
156,-4485.770223391917
157,-4388.355815256434
158,-4465.885535265614
159,-6295.443789190956
160,-6467.879188725375
161,-6862.113635460894
162,-6684.3988223692195
163,-6746.818378851793
164,-6822.629606158222
165,-7534.865487313261
166,-7682.864747382089
167,-6775.5657776147
168,-6358.641195255935
169,-6176.483474955754
170,-5898.116849870307
171,-6117.161545858239
172,-6827.97048081871
173,-7613.172381034521
174,-7628.078744277226
175,-7496.5596484208345
176,-7358.19649072988
177,-6299.976973425778
178,-4390.60292954
179,-4112.3982896985935
180,-4160.955262710077
181,-4971.174949799078
182,-6436.885519423487
183,-6328.7219542482
184,-6986.36014475514
185,-6830.456957384962
186,-6758.286556541854
187,-6811.512054840958
188,-6981.86004301421
189,-7461.313290975251
190,-7487.716431105505
191,-7474.094913615337
192,-7000.358036886544
193,-7037.085778364298
194,-7075.24115809822
195,-7182.24401860327
196,-7208.321213333975
