Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,991736311.5107868,608840065.6540989,373774985.5916772
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,483951282.77929395,297104106.5662603
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,51269100.88482506
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,944107908.0,490084899.8313212,173102155.89810726,85539819.57871705
Fixed Operation,0.0,539318083.2930758,457817441.1581459,252003096.63129908
Trading,-64572102.91054535,-357117346.58683074,-58663107.26747102,33898831.17276322
