Month,Switzerland,Germany,Italy,France,Austria
1,69.170201582079,88.84409444020989,66.3588935287548,40.44242841692037,78.89636570108766
2,60.09618486339017,76.10755327828498,59.906808669295394,31.28441469375876,53.24587203847426
3,29.887670200646088,36.48903033362601,30.206100651740012,19.999267191070327,29.307070370067365
4,14.800649816915193,15.313782541488612,14.95621044586085,14.250220204615966,12.418167899308578
5,11.165649546449378,10.946677949901977,12.023114669763489,11.893988076612246,10.62642376333162
6,10.837048772135239,10.64117109861987,12.467334791825012,12.33111602339599,11.164815716795504
7,10.983034269014103,11.537869580903665,12.99137723115383,11.476882502842416,11.34928375615979
8,13.894926058439497,13.561490535391034,15.646570206292402,13.939058800629107,13.023121397638144
9,20.675657514979612,20.20232922438944,22.095544528695676,19.23699208946091,20.603818932581785
10,40.804763100348985,54.23071310108594,41.850101352889396,23.52432680104978,49.864519852635176
11,58.43640210156812,64.31344458516872,59.16322679969381,33.809661447459064,67.58347327267987
12,69.88734303596347,106.23531628208687,61.44422787351165,28.629553035110177,94.31182044565419
