Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,991771008.7214416,608861366.7315809,373788062.6054581
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,484575587.39343065,297487375.4431254
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,53995218.9302072
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,945947129.0,489706106.14518774,172340238.0039786,85589421.11927266
Fixed Operation,0.0,539346419.0732062,458069498.0602806,253188063.37899235
Trading,-72374184.3117851,-361182506.2517012,-55816350.70969336,33286465.004515074
