Month,Switzerland,Germany,Italy,France,Austria
1,69.13209625598739,88.84344823770543,66.35428704713256,40.92228206802984,78.9911498588456
2,60.63844634283735,76.28874347337418,59.89566246589144,31.670469937138797,53.36125498236066
3,30.098500772935857,36.47895273750804,30.299747951393293,20.083257477565468,29.39438592651856
4,14.484646249142843,15.324419870106889,14.989962573623247,14.1490366476867,12.438808962627832
5,11.012811316557983,10.972764537525793,12.119458996644628,11.811674106681794,10.643207922343668
6,10.916523232006138,10.648880725701192,12.684833411697081,12.360139987995723,11.220608478269366
7,10.934062520913923,11.560008156047122,13.02944055003998,11.49128126942933,11.366382173665624
8,13.765483790658255,13.56894718394357,15.657856406980505,13.948512426908163,13.026231824861549
9,21.14013149714514,20.82522064161355,22.719707924305517,19.69245935241588,21.19689664559506
10,41.322088958050756,54.55484559162158,42.45429788888939,24.008952536828556,50.23399553710405
11,58.720430813042405,64.32935712588576,59.24199754277992,34.064963739539955,67.70278461715164
12,69.25631548116272,106.23133457274135,61.569387839107506,29.68032608377247,94.29515336495022
