Hour,Battery,Battery (Load),Biogas,Biomass,CAES,CAES (Load),CSP,Coal,DAC (Load),DSM,DSM (Up),EMob Shift,EMob Shift (Up),Gas CC,Gas CC-CCS,Gas CC-Syn,Gas Other,Geothermal,Geothermal-Advanced,HP Shift,HP Shift (Up),Hydro Dam,Hydro RoR,LAES,LAES (Load),Lignite,Load Shed,Load Shed Ind,Marine,Methanation (Load),Nuclear,Oil,Other NonRES,Other RES,P2G2P,P2G2P (Load),PV Agri,PV Alpine,PV Facade,PV Highway,PV OpenField,PV Roof,Pump,Pump (Load),Waste,Wind Offshore,Wind Onshore,Exports,Imports,Imports (Net),Load (Net),Load (Total)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007144830248796567,-0.16582819360302606,0.0,0.0,0.0,0.12211957730431029,3.0283128548700003e-07,0.0,0.0,0.0,0.0,0.0,5.612783833425588,1.3211117082574135,0.0,0.0,0.0,3.2411401862724785e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5776247282159999,-5.4767641341786e-06,0.2269906813889677,0.0,0.7995196855371042,-6.424130777346362,7.067191113457898,0.6430603361115363,9.345002314462898,10.144522
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006539130322555004,-0.2130144058570245,0.0,0.0,0.0,0.20923919891644682,2.9627668307450003e-07,0.0,0.0,0.0,0.0,0.0,5.576035862293951,1.3211116431371202,0.0,0.0,0.0,3.2021836403830556e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5758483534351888,-5.484237527724301e-06,0.22549112559770976,0.0,0.5781996897774333,-6.550062595428955,7.1880771984773775,0.638014603048423,9.339260310222565,9.917459999999998
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00547214122024567,-0.07990368596639659,0.0,0.0,0.0,0.23959939915173945,2.864018067493e-07,0.0,0.0,0.0,0.0,0.0,5.552507865801468,1.32111168269003,0.0,0.0,0.0,3.204909138757182e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5711405083305938,-5.4034586185768e-06,0.22399166404174545,0.0,0.9563096875348734,-6.682855562778365,6.725009429830732,0.04215386705236688,8.876068312465128,9.832378
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00405337780792341,-0.08290651676721791,0.0,0.0,0.0,0.23959939512099435,2.8667881912980004e-07,0.0,0.0,0.0,0.0,0.0,5.509928404700235,1.321111690899953,0.0,0.0,0.0,3.194653978478244e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5695178824732428,-5.3886386232363e-06,0.2238916328111182,0.0,0.6024795854145641,-6.841430380637492,6.961523043743746,0.1200926631062539,8.905283414585435,9.507763
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034843391899716174,-0.07722578044434056,0.0,0.0,0.0,0.23959939291987176,2.87558160631e-07,0.0,0.0,0.0,0.0,0.0,5.444459444693497,1.3211116868182995,0.0,0.0,0.0,3.180478213631407e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.565120094695754,-5.3978831850742e-06,0.22389169138430176,0.0,0.5297596508010051,-7.012712006471065,6.886746610485119,-0.12596539598594608,8.594470349198994,9.124229999999999
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00325193682740582,-0.0805856374193519,0.0,0.0,0.0,0.23959939081655368,2.87479305206e-07,0.0,0.0,0.0,0.0,0.0,5.424287422430301,1.32111167988059,0.0,0.0,0.0,3.1551945927218574e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5623961070711059,-5.4233780918034004e-06,0.2238917458559724,0.0,0.5557595915607306,-7.113542391965776,6.764794304148774,-0.3487480878170018,8.345199408439269,8.900959
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003166836461788089,-0.08127090201688039,0.0,0.0,0.0,0.2395993887532232,2.8703969300140005e-07,0.0,0.0,0.0,0.0,0.0,5.3796039302213154,1.3211116745914866,0.0,0.0,0.0,3.151182165288894e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5601068290927953,-5.4531140239535e-06,0.22389179803488352,0.0,0.6802896500850822,-7.1654440788026905,6.582334052672306,-0.5831100261303845,8.063094349914918,8.743384
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003225784396222153,-0.07722611582613047,0.0,0.0,0.0,0.2395993919954399,2.879050221844e-07,0.0,0.0,0.0,0.0,0.0,5.3962281906162755,1.3211116856362213,0.0,0.0,0.0,3.155122837915496e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.561037361020724,-5.432358662625901e-06,0.22389185697150568,0.0,0.5007396586764328,-7.168023861974827,6.768054206361333,-0.39996965561349407,8.267893341323566,8.768633
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012245161999863356,-0.06380460123349083,0.0,0.0,0.0,0.2395993936981912,2.8858347367849997e-07,0.0,0.0,0.0,0.0,0.0,5.2278668552355905,1.3211117171529472,0.0,0.0,0.0,3.173577795943995e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4190296664981304,0.0,0.0,0.0,0.3217360512275344,1.5522823945939348,-5.3850469815004e-06,0.22389183050913455,0.0,0.40539971665156205,-7.311360342117728,6.755155925894236,-0.5562044162234915,7.945962565622773,9.092128
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0850484776909928,-0.3984264437872859,0.0,0.0,0.0,0.23959945499098328,3.029881001549e-07,0.0,0.0,0.0,0.0,0.0,3.1145503574281412,1.3211113561828343,0.0,0.0,0.0,3.184142664796093e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5344892896829405,0.0,0.0,0.0,1.725552132303037,0.7424523473045715,-7.4064036541765e-06,0.22388933861940122,0.0,0.3594298197322166,-5.832545552861855,6.450813557555181,0.6182680046933255,5.946485758281808,9.565957000000003
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47420826554939915,-1.1598297747504709,0.0,0.0,0.0,0.2395994684819352,3.023737473662e-07,0.0,0.0,0.0,0.0,0.0,3.1523908353731445,1.3211112777281946,0.0,0.0,0.0,3.177421401530867e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2515993677412633,0.0,0.0,0.0,3.0494120663983204,0.6325080631053274,-9.1751306409797e-06,0.22388807519588264,0.0,0.4167198776232974,-5.856957264448776,5.1613166466628515,-0.6956406177859245,4.188226688237119,9.905958
