Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,991315620.1482302,608581797.6509753,373616431.4415941
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,484910768.1755479,297693147.36759937
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,52431040.844708234
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,944456695.0,490272393.23634535,174695822.52353022,87561133.89568442
Fixed Operation,0.0,539096402.9007016,458075069.2406165,252608765.51181227
Trading,-54416157.43224448,-337069416.99793255,-41011464.87280352,46158401.29170797
