Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,991087925.8616245,608442013.1106726,373530615.8596621
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,485254480.6048888,297904156.9833784
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,52806603.97329887
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,944926908.0,490490354.5422294,175185301.70917982,88307631.35445434
Fixed Operation,0.0,538971394.8144494,458145540.78990304,252795049.3467447
Trading,-44370192.5741688,-320251422.5209436,-32506010.59054795,52494093.36400551
