Month,Switzerland,Germany,Italy,France,Austria
1,69.31993228944036,88.83595949182511,66.36306127297236,40.75833943787698,78.91569485756615
2,60.62304473444509,76.24912369850729,59.97434743445065,31.60161664065701,53.339166326257825
3,30.15373835439464,36.76844700694007,30.37575993046273,20.215183290540228,29.4801791804166
4,14.878968812433495,15.334212821128267,14.991431107280148,14.276063702728175,12.435117077756527
5,11.230636918272259,10.959084472433418,12.0529878023703,11.90401201631295,10.640408064019471
6,10.860870514298682,10.642955284119166,12.47463438106777,12.331948885847108,11.168466269527467
7,11.008424334331677,11.544553083600126,13.004989297947823,11.480030950857195,11.35545734069551
8,13.92328598049632,13.567343672993848,15.651152422062012,13.94034428138297,13.025870809967838
9,21.142388902104443,20.69678743891631,22.56101195761012,19.611036322921095,21.070049692756395
10,41.316026200131446,54.61565688125883,42.377576799452385,23.952046729626883,50.23208935018353
11,58.85697100463072,64.42314563662227,59.23684945747855,34.13484904633102,67.70661026229423
12,70.15878045051453,106.3375175334223,61.58271200865052,29.31964529429952,94.4484786061587
