Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,991133464.7189456,608469970.0187331,373547778.9760485
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,485608249.5009234,298121340.3973445
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,54631548.01821456
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,946408950.0,489733855.02424777,173398505.22915876,86953563.32392074
Fixed Operation,0.0,538996396.4316999,458293822.6804867,253568534.67112583
Trading,-56498252.413368225,-333317991.5847131,-42376533.65493997,44056854.13524488
