,0
0,-6374.547605619853
1,-6463.580198546624
2,-6559.474570222139
3,-6751.23387335222
4,-6957.823414383503
5,-7040.354197834499
6,-7092.77215803955
7,-7095.693056982141
8,-7252.340591522932
9,-5740.477555045845
10,-5811.724026253352
11,-5937.199559225152
12,-5999.4212210645055
13,-5360.501420055869
14,-5602.2749685014405
15,-7034.096265260839
16,-6316.70796372278
17,-6170.809090589355
18,-6431.222800072772
19,-6650.757475479307
20,-7030.813680439659
21,-6948.898461539623
22,-6504.218681113472
23,-6635.834214327052
24,-6768.789444423315
25,-6818.437781261406
26,-6860.635490505504
27,-7079.1254803537395
28,-7328.80944054364
29,-7429.725474108683
30,-7630.213642331715
31,-7713.159408850461
32,-7704.15994621821
33,-7564.854553963183
34,-5838.379410654187
35,-6299.995539772982
36,-7156.479659628504
37,-7263.542809757165
38,-7314.313745722255
39,-7365.456094474073
40,-7036.274730436035
41,-6907.95183453694
42,-7179.005053503484
43,-7172.073234159844
44,-7302.963459263949
45,-6901.703859096183
46,-6881.725102275819
47,-6935.070679993
48,-6687.781618971331
49,-6436.5673084951495
50,-6619.754678099106
51,-6516.751127075508
52,-6495.424696000023
53,-6572.410985756401
54,-6474.183918546403
55,-6473.803071932435
56,-6376.578453555583
57,-4190.731352241594
58,-4574.702364164025
59,-4299.723330579029
60,-4155.937627992504
61,-4603.010505328914
62,-6307.046697438718
63,-6192.3642421155555
64,-7507.257748165229
65,-6128.54118475225
66,-6189.728719164393
67,-6116.886683572662
68,-6346.287703407243
69,-6204.365143067429
70,-6226.714377239958
71,-6395.811720606946
72,-6238.1615562244815
73,-6287.771360390604
74,-6541.403772625865
75,-6661.756980052392
76,-6835.530032236263
77,-6918.146974021361
78,-6968.952898913748
79,-6568.998963943616
80,-4495.74632715583
81,-4851.571130206433
82,-5053.677299585989
83,-6166.106240776522
84,-6122.106820830813
85,-5438.603186525435
86,-4705.247949422189
87,-6932.997391697913
88,-7016.335367745248
89,-7204.350960880041
90,-7169.672278582546
91,-6898.36155897625
92,-7061.0623273471565
93,-7277.211805183548
94,-7114.685141458138
95,-7170.961591082353
96,-7776.327423655721
97,-6681.411843566308
