Month,Switzerland,Germany,Italy,France,Austria
1,69.46459881705535,88.83009068991258,66.36395374229959,41.25450013948161,79.01239244893307
2,61.07624517862777,76.36770636600554,59.951744549552856,31.98056747480476,53.45586908816066
3,30.647165742200933,37.13470088671922,30.75082829240437,20.319643828155186,29.81395211306359
4,14.544979449662314,15.363404730062282,15.02901150474351,14.177534197160108,12.463904444127909
5,11.09134210946561,10.980273567889723,12.15198606753316,11.815642770034149,10.660593000403988
6,10.93905540044543,10.65178261696346,12.701418536656428,12.363446858559529,11.227517160938289
7,10.962977251101332,11.567026576449184,13.099600518401978,11.504203335346654,11.377243305897743
8,13.791325185626825,13.574891510013881,15.664363757516249,13.953813458502573,13.032412192510185
9,21.718193024490315,21.439087797855628,23.312163970688815,20.155161025505805,21.776479455879617
10,41.84104780384234,54.99016873089437,42.95270398289161,24.543856000762855,50.67022671195345
11,59.12647507979149,64.45049115701462,59.381243895693295,34.445874814184876,67.89027095822206
12,70.94876898804213,106.36613333211281,61.720034023160515,30.417111584787918,94.46173679684955
