Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,990975164.8536497,608372787.6333942,373488117.4216783
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,485535072.7896846,298076416.2444645
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,53160372.71135306
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,945446749.0,490832168.5496226,175661009.3531252,89027232.80446017
Fixed Operation,0.0,538928059.9057086,458228336.62527955,252978730.1853797
Trading,-34411596.32500267,-304848776.5120736,-23780376.853843,58576667.551240124
