,0
0,-6205.641890338274
1,-6382.727024421305
2,-6236.987987921092
3,-6476.573456205533
4,-6866.614588727534
5,-7236.932019448776
6,-7459.196272374983
7,-7599.659227189815
8,-7176.2207187305285
9,-5896.829975996866
10,-5696.027474950095
11,-5688.760150368073
12,-6084.969388140509
13,-4798.940958768904
14,-4977.542235689306
15,-6990.892928010377
16,-6823.051024199101
17,-6829.757871397863
18,-7177.826718910337
19,-7603.209496144158
20,-7784.703147951893
21,-7804.441871716669
22,-6424.148877460873
23,-7227.65707452222
24,-6989.3802272159255
25,-7010.02369526197
26,-7007.113979352984
27,-7137.614045178373
28,-7224.632757385857
29,-7559.973946674412
30,-7962.24470990048
31,-7999.905482075673
32,-7634.841840366699
33,-7333.026411054108
34,-5345.4298874835085
35,-6299.998211853106
36,-7067.86863595108
37,-7018.261334042778
38,-6891.231890631707
39,-7607.903197635408
40,-7632.8700742533
41,-7524.101311671207
42,-7852.405196653442
43,-7863.8787740442895
44,-7978.062301684464
45,-7263.638297683609
46,-7398.429171761638
47,-7091.212167447203
48,-6583.145068818145
49,-6294.60611619992
50,-6570.139369700291
51,-6474.842665815833
52,-6480.134290645187
53,-6526.618303874144
54,-6598.876380862239
55,-7234.656428149765
56,-6635.762733999545
57,-4191.783341437607
58,-4302.449534861091
59,-4085.107454731326
60,-3947.4033260265983
61,-4381.650320518318
62,-6067.427033149358
63,-6345.387148543912
64,-7999.9943693439845
65,-6767.199387359478
66,-7127.68240122251
67,-7122.398571566852
68,-7520.447464819555
69,-7575.121477976896
70,-7732.065718851171
71,-6504.556961708545
72,-6172.409622783464
73,-6175.92622891055
74,-6399.909347908949
75,-6324.656267487687
76,-6377.88319926868
77,-6360.21703633155
78,-6759.787677789479
79,-6578.774471797123
80,-4815.269745070931
81,-5217.018126721991
82,-4587.425227019387
83,-5780.277855690099
84,-5827.164847844484
85,-5512.223557521784
86,-4487.51910821659
87,-6439.174799718563
88,-7308.685503496468
89,-7701.137177922583
90,-7841.761963232358
91,-7705.271276678871
92,-7869.227391014181
93,-7476.652401465673
94,-7874.384665497626
95,-7729.9569409369105
96,-8121.2397937184
97,-6748.002701131701
98,-6963.110484800973
99,-6899.821331955758
100,-6815.8969716416
101,-6690.303742506819
102,-7558.209626703145
103,-7724.803122904633
104,-6446.128128967051
105,-5773.7485595733715
106,-5592.234725102978
107,-5318.481232249698
108,-5261.651890795899
109,-5237.663558695688
110,-6480.878898916594
111,-7417.972691244453
112,-7523.526131475246
113,-7721.252572197589
114,-7710.884431015293
115,-7037.512409962374
116,-6790.461007775573
117,-6275.154222657555
118,-6713.852217428315
119,-6544.20078120556
120,-6754.574071648611
