Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,992146161.2266771,609091677.826644,373929453.63915473
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,483703267.26308405,296951846.55377525
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,53158991.24915812
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,944961280.0,489852800.10320807,171783711.30999437,84514470.18362117
Fixed Operation,0.0,539543097.8483298,457833044.3827368,252726428.81128702
Trading,-71132589.85216802,-364953567.3258672,-64476277.378812924,27737641.85244995
