Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.7620987449474219,0.5456360063499595,2.189964208670886,2.1899542873278515
DSM (Up),-0.7620987449474219,-0.5456360063499595,-2.189964208670886,-2.189954287327841
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8931220397475929,0.1918291751008251,1.883413333490558e-06,0.0
Gas CC-CCS,0.0,0.0,0.024287232519511204,0.4934526465273009
Gas CC-Syn,0.0,0.0,0.0,0.007175863436186573
Gas Other,6.982393588327298e-05,2.839511907534748e-06,9.448433707149133e-07,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,0.6855515116452334,1.8514302001616247,2.8720305843413105,3.1999454004132453
HP Shift (Up),-0.685668601906977,-1.851959698161106,-2.8729899497747975,-3.2008672828832654
Hydro Dam,18.067263401911774,18.07393108844607,17.734296877205242,17.9921597167968
Hydro RoR,17.280818542423013,17.961236961377494,19.269972845422263,19.43662642867347
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,5.113257570396817e-07,2.911670450381495e-07,1.0924533454812668e-07,1.808719490061521e-07
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.895849654404717,14.518311649367112,5.020581078415497,0.0
Oil,1.1593689523230178e-06,4.019424613379606e-07,1.6093772358215265e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.7371574472955555,6.823417609591914,6.83353995495052
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.598638497710104,19.20662567353711,29.60011436850013,32.191205957188195
Pump,2.972135240041176,4.831196859396955,6.981885402424417,7.7532365339844524
Pump (Load),-0.07543316875769453,-1.610642694104064,-3.342675887563771,-4.197913922277349
Waste,1.7263014830453944,0.46254317763438263,0.08838240766604982,0.9749377243906567
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.18760264774964278,3.0965570787619745,3.0903769787530737,3.071544492057131
Exports,-46.60833875662678,-57.51550259192669,-58.09614936019078,-54.867511175256055
Imports,47.00012227607876,43.39645935857064,45.44734939165957,46.67796838274818
Imports (Net),0.3917835194519761,-14.119043233356056,-12.648799968531211,-8.189542792507867
Load (Net),58.11351444754025,40.308834571405356,33.12697240215488,34.26920994680415
Load (Total),60.899755592999995,65.34917477100001,72.640881359,76.365500351
