,0
0,-6245.294168162623
1,-6433.707025297375
2,-6512.062376047662
3,-6823.225784382121
4,-6982.21186293902
5,-7156.070427581207
6,-7429.583637917229
7,-7552.1625979167275
8,-7229.897397768129
9,-6044.010141358434
10,-5906.016540057213
11,-5797.034445190442
12,-6274.4190573303995
13,-4784.898783624751
14,-4917.793403687508
15,-7093.537783379228
16,-6659.905502538831
17,-6627.561711364964
18,-6866.913019434186
19,-7277.762285779781
20,-7532.286901264797
21,-7524.169620316393
22,-6688.621109849966
23,-6876.6502230484475
24,-7068.344080646806
25,-7111.478357950683
26,-7137.115247792277
27,-7314.6793171894915
28,-7312.498412323996
29,-7584.529992735052
30,-7754.792022771205
31,-7877.1556581871355
32,-7756.795940727047
33,-7613.146435387776
34,-5431.299446313751
35,-6299.996526180866
36,-7085.608928870834
37,-7033.749741980278
38,-7453.827587735203
39,-7444.267528575905
40,-7442.710222856071
41,-7336.445220974332
42,-7605.578823471062
43,-7587.930249265717
44,-7726.28078695178
45,-7188.581025376166
46,-7192.867813774493
47,-7112.90836940857
48,-6566.66480508938
49,-6354.755244999724
50,-6586.164749705635
51,-6534.894467605642
52,-6540.564092680279
53,-6583.432811974186
54,-6601.523837247732
55,-7095.972888063384
56,-6545.457099030182
57,-4254.398842096161
58,-4348.908650105904
59,-4055.3011321013
60,-3998.9470548224235
61,-4701.636352638959
62,-6264.228479121524
63,-6367.824344385043
64,-7755.4831574875825
65,-6429.294760074681
66,-6727.104092286119
67,-6852.235608406545
68,-7153.179665179732
69,-7066.1137467329745
70,-7111.488551222214
71,-6504.55438893063
72,-6229.060620970752
73,-6266.251228729349
74,-6454.106617782514
75,-6421.724233667061
76,-6659.88013281828
77,-6911.506744151526
78,-6995.267301139875
79,-6691.030959194991
80,-4644.167836492201
81,-4849.833031406006
82,-4823.519594559699
83,-5883.022375422754
84,-5933.067440976585
85,-5661.691903470903
86,-4723.720118242419
87,-6704.86894590247
88,-7130.923878106893
89,-7338.081896084282
90,-7468.586583362968
91,-7531.835534889577
92,-7729.169330739224
93,-7114.590213055306
94,-7716.70628535577
95,-7754.097016650631
96,-8133.531110170992
97,-6859.290924833676
98,-6994.016200324515
99,-6949.574841143014
100,-6835.739782254272
101,-6814.461310842162
102,-7427.122537393409
103,-7548.9174645114135
104,-6460.280845004894
105,-5792.0058033134665
106,-5986.890890102351
107,-5414.620792723576
108,-5381.657807826784
109,-5338.465720562936
110,-6601.699689098095
111,-7282.937208727482
112,-7300.894021740849
113,-7525.993905403411
114,-7541.095099459961
115,-6834.033666497054
116,-6790.452112862136
117,-6414.764317579121
118,-6588.354253600901
119,-6784.337427982506
120,-6752.026872607301
121,-6315.468991649461
122,-6377.26627299213
123,-6542.6775485143135
124,-6601.459015091415
125,-6803.931841364141
126,-6800.005880322632
127,-6291.041387163223
128,-6411.106050677907
129,-6378.3744753236115
130,-5914.152602699944
131,-5960.233174377674
132,-6330.55519255452
133,-6504.519166672626
134,-6294.771178988913
135,-6358.474285697727
136,-6352.106436911297
137,-6446.527282218481
138,-6391.475152462208
139,-6304.680343377134
140,-6375.490234384846
141,-6423.94899787141
142,-6554.246928103251
143,-6635.883858578409
144,-6508.723696040196
145,-6482.272988188526
146,-6316.899094541168
147,-6224.528072504853
148,-6308.053605339201
149,-6472.522268630319
150,-6491.988772674516
151,-6358.917106250132
152,-6360.850868865811
153,-4241.52961297203
154,-3849.161129580844
155,-4142.0111058076745
156,-4345.34132803025
157,-4433.838486526277
158,-4496.313664254614
159,-6292.318478073814
160,-6452.907470011255
161,-7273.001702252181
162,-7073.0627054398365
163,-7110.967834836163
164,-7185.471450876178
165,-7762.34872585077
166,-7881.506639157673
167,-6861.664292003985
168,-6103.378909861284
169,-6143.884250076223
170,-5915.533692595505
171,-6324.278660367347
172,-6686.846322620197
173,-7502.29823412369
174,-7613.346451696962
175,-7697.437281514376
176,-7420.524577542196
177,-6299.996099064449
178,-4284.063902201795
179,-3874.2542834184433
180,-3992.7295130158273
181,-4849.75257257386
182,-6374.118941320408
183,-6242.0720747934765
184,-6894.513628424941
185,-6921.9086765716875
186,-7088.510063926411
187,-7456.412670636104
188,-7586.364065449881
189,-7590.7427255003695
190,-7603.837323981308
191,-7360.358904288829
192,-6843.524214590027
193,-6866.941871073972
194,-6880.548843969081
195,-6981.13280647715
196,-7035.971164412538
197,-7052.096506787611
198,-7028.21906805603
199,-7173.090369421974
200,-6103.895517059503
201,-4586.588365173978
202,-4362.082265434651
203,-3946.429819914401
204,-4251.2121448038815
205,-4679.663566735512
206,-4443.078939329474
207,-6080.319067283026
208,-6767.016210955897
209,-6717.423449284789
210,-6694.753712806438
211,-7000.530540770058
212,-7245.611283465012
213,-7683.159657912847
214,-7767.053863069824
215,-7806.89702074686
216,-7201.3009443343135
217,-7235.119863797576
218,-7312.020408683546
219,-7490.244009567213
220,-7530.185177801634
221,-7712.210478603004
222,-7739.498868293951
223,-7168.296319478609
224,-6930.282238420978
225,-5471.801471055185
226,-4547.77314851014
227,-4194.2581356815635
228,-4142.34275345684
229,-4358.390348500602
230,-4295.598747891336
231,-6492.632895541654
232,-6734.52890526648
233,-6763.232763871707
234,-6657.250953521254
235,-6574.5685872892
236,-6709.990430782434
237,-6665.824882845244
238,-6932.261191996922
239,-6902.311966800553
240,-4024.2429181999687
241,-4071.7252606311386
242,-4101.987924028256
243,-4117.20035445793
244,-4213.888526254601
245,-4007.869177412038
246,-4925.047117195041
247,-5951.679126118741
248,-3184.709693911751
249,-3926.5283751396228
250,-4546.124081969137
251,-4766.331412261822
252,-5130.771625680717
253,-4984.111242431489
254,-5554.051306846515
255,-3910.593330989198
256,-3653.6359671364626
257,-3613.897843979078
258,-3490.73556623509
259,-3497.2142020799165
260,-3682.790086304908
261,-3895.913533747611
262,-4070.3787408162707
263,-4186.651653286784
264,-3019.9870742262574
265,-3113.6696981706455
266,-3069.891079786329
267,-3041.3036760240575
268,-3061.385960841093
269,-3173.322461910215
270,-3143.3550511058747
271,-3013.0461419082612
272,-3299.663142143609
273,-3585.2463447345544
274,-4362.607851146532
275,-4411.186007304031
276,-4616.665275535691
277,-4626.856318693642
278,-4524.443149280039
279,-4146.804337252426
280,-3555.1237882475875
281,-3487.3800096922537
282,-3475.7499460760373
283,-3610.656956494175
284,-3347.19498455502
285,-4257.572206641769
286,-4519.539962449572
287,-4542.670986686901
288,-3268.4283272716975
289,-3289.7575042472645
290,-3438.3076610366047
291,-3489.587066749521
292,-3736.434268980378
293,-4179.74736986909
294,-4260.258218318435
295,-3616.2687187857805
296,-1699.9997493944288
297,-3668.1679320708995
298,-4425.629143831664
299,-4806.691213892145
300,-6611.128616056756
301,-6067.506098707153
302,-4380.845693760421
303,-4604.086561196112
304,-3765.0466898230397
305,-3859.476153101421
306,-3736.4431618761582
307,-3784.0037426516774
308,-3885.3185765959106
309,-3886.588744031832
310,-3495.2787434963384
311,-3468.4766324671136
312,-6319.300735953795
313,-6287.758649133186
314,-6412.811271386213
315,-6429.5616747754475
316,-6505.615571039865
317,-6198.764836226047
318,-6604.484668689933
319,-6713.371914647025
