Month,Switzerland,Germany,Italy,France,Austria
1,68.76997911543592,88.82984095534772,66.33536075386952,40.65956757476667,78.8624345880543
2,59.967509326895936,76.18772618963246,59.709662585372826,31.458533006540602,53.24211837517256
3,29.80392915354383,36.31919458242451,30.149409974745634,19.87073811063035,29.246318079408816
4,14.522254867344845,15.297992562893304,14.964251520736045,14.133053431947658,12.417974182827862
5,11.021970796896174,10.967892096205027,12.097104896002202,11.81856653671911,10.633613619986841
6,10.965615758780134,10.650192782641188,12.700800611808386,12.363372235565365,11.224863899846374
7,11.039033411735474,11.564488472975938,13.128288451223318,11.552189842937652,11.375098244161078
8,13.839911452995622,13.577027571003212,15.665406118495214,13.953517670290498,13.036702912534128
9,21.03406788036645,20.613691968761636,22.553480264062504,19.556323147617043,21.003324432650388
10,41.034575217454815,54.369795387101064,42.195391619586935,23.759291379239393,50.03799244473768
11,58.27042512881853,64.22383777047102,59.125094868920485,33.87361782572788,67.53889559542974
12,70.33668588957902,106.14192658894797,61.448059380173824,28.8129402935106,94.21534268801881
