Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,992055083.5120348,609035764.0105228,373895127.40638196
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,483638622.199069,296912160.09220046
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,53250337.97841344
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,944372082.0,489867750.73267156,172298534.05203027,84856442.1193179
Fixed Operation,0.0,539493094.6138289,457783552.0096249,252737010.3961464
Trading,-67774461.17847723,-362152885.8099789,-61864480.86685322,29832761.344041422
