,0
0,7114.171186400695
1,7116.465999231365
2,6711.553720484651
3,6909.792861121298
4,6834.568379776022
5,6674.3089178223145
6,6321.886891322198
7,6491.271660589705
8,6734.097142750899
9,6219.94280232402
10,5572.630739996301
11,4092.1475726843246
12,4319.782578951887
13,5907.741367085371
14,6442.771050341347
15,6550.2939142283585
16,6862.5421731397255
17,6953.98677967314
18,7100.264568524303
19,6977.9156368162785
20,6790.481045376415
21,6438.677628338329
22,6446.761002810904
23,6485.266356531538
24,6802.362269895667
25,6798.070019792704
26,6354.691647904315
27,6244.396710412704
28,6359.294985624048
29,6116.998435518484
30,5796.592486171269
31,5831.115844589918
32,5766.821221312107
33,5264.790717428359
34,5625.973275720225
35,3271.0976191619475
36,5812.21232194348
37,2837.685930346101
38,5869.365816453837
39,6629.309341413982
40,6385.021191788772
41,6284.110351629995
42,6505.662376680343
43,6292.383196807773
44,6046.844397321235
45,6474.57914809702
46,6108.8341201877665
47,6286.967857520722
48,7075.593873902881
49,6706.462766944205
50,6729.891988857292
51,6079.9477574991215
52,5712.5916120201755
53,5829.275368462895
54,5285.600755645823
55,6671.860955060518
56,6643.811770328809
57,7924.4312963497505
58,6084.440406609574
59,4922.2382414891235
60,4111.581108397775
61,3970.4608907244183
62,5666.609513187253
63,6752.746127798026
64,6340.401127801263
65,6893.302088837902
66,7156.22063672779
67,6935.3880524338265
68,6859.047498511133
69,6173.726319692534
70,5976.873895282138
71,6506.533238850798
72,6673.847238871589
73,6592.998436750242
74,6803.431730525107
75,6495.40369209028
76,6476.174347682834
77,6395.42166030692
78,6584.704812023911
79,6356.406049232304
80,3675.1858577101675
81,4659.533477160327
82,3023.239772394673
83,2004.8174648139063
84,2898.878375661604
85,2249.4380340199286
86,4453.153039176865
87,6788.212670940256
88,4584.9569531410925
89,5142.557042798991
90,4365.163539534973
91,4273.640209097387
92,3229.873732014681
93,3954.444233956047
94,3731.266813607778
95,3646.2693844444575
96,3661.3932955779233
97,6508.237985770033
98,6630.565576240363
99,6499.920681612406
100,6594.674312412889
101,6203.173794615752
102,5668.671866186014
103,5504.63537952592
104,6930.142371938828
105,4350.82681588943
106,3090.3985584895786
107,2701.26085355615
108,1537.7605901003926
109,2802.8500291280425
110,4533.124070761772
111,6405.062421506214
112,6693.62321490608
113,6378.015849473029
114,6505.383631083886
115,6491.027234046831
116,6711.85152299181
117,6647.614310549541
118,6591.445759099393
119,6743.665123840382
120,7006.648657878989
121,6433.159581376807
122,5999.029363432246
123,6276.259717874711
124,6438.539548555446
125,4489.7226661734785
126,4640.90660011903
127,6357.140973332875
128,7601.4099264138995
129,7598.926086840818
130,8452.4481071693
131,7779.881247593285
132,6949.426302392132
133,6817.389432519825
134,7059.671483672251
135,5865.350173478637
136,7771.107584141026
137,7800.4441011710915
138,7712.522129635312
139,7525.460605603717
140,7657.585966048356
141,7517.3724753267525
142,7621.403484546518
143,7656.092722976013
144,7797.11274532598
145,7765.664126625552
146,7358.893247845042
147,7578.441512973949
148,7361.566773868955
149,7797.389018877279
150,7602.49108061089
151,7334.58657568744
152,7794.770484307725
153,7846.398257228433
154,7599.550683362225
155,5149.834283622348
156,4931.111473363968
157,3868.032526938955
158,7343.766012967449
159,7456.5996355890165
160,7622.618812853902
161,6293.999541771466
162,6235.459718764585
163,6301.582041367588
164,5808.850997017445
165,5965.021589530608
166,6069.9701698106255
167,5891.208966773295
168,6414.380421684995
169,6201.381414447504
170,6274.400306948768
171,6209.214081726086
172,6157.066937897891
173,6289.163469339295
174,6041.687949545669
175,6389.4403166560805
176,6294.789178934788
177,3548.7125650383696
178,6226.791304993762
179,6099.670873014711
180,5593.93391810807
181,4299.859079465824
182,5222.212100053239
183,7019.723440289679
184,6662.14517478895
185,6521.446649409787
186,6658.776266127918
187,6380.771443546319
188,6011.914817543425
189,6053.73194567503
190,6001.7748546159255
191,6012.674047763446
192,6239.209249488327
193,6317.0843966514285
194,6213.4962471161225
195,6436.180692926258
196,6298.333404542437
197,6288.912544181713
198,6422.100898772362
199,6135.213329291766
200,3318.9559578290205
201,4834.685796628346
202,9319.108332032296
203,7818.04474258514
204,7890.863113746863
205,6850.3241728343255
206,5471.913116945252
207,7231.45664372944
208,6329.4929424982965
209,6357.891799658652
210,6342.537856461732
211,5923.869947908727
212,6342.347398132315
213,5798.606217363007
214,5845.393428317129
215,5912.084265983961
216,6187.966247543466
217,6052.75839842296
218,6056.000656447438
219,6208.926402816346
220,5987.021380914394
221,6294.851284622146
222,4339.528992600944
223,5315.144593893954
224,6575.160701513869
225,2935.689007434291
226,5513.5360602970395
227,5793.074384986272
228,5510.616387754346
229,5501.4748216059625
230,6366.567381630096
231,6720.929353399413
232,5455.076958647849
233,5313.141424756224
234,5284.00696747103
235,4873.365641690855
236,4260.016880180442
237,6489.918053741589
238,6600.835630500356
239,6649.728831444163
240,4877.42645258127
241,4969.168194258864
242,4846.097925608318
243,4778.621700548274
244,4032.589703535153
245,4327.785843550422
246,4441.730312485916
247,4830.7956985881265
248,5725.5542230536885
249,5762.251144715377
250,9645.09049712036
251,9800.807175726666
252,9617.56422532632
253,9412.393851289831
254,8124.986589018675
255,4725.082118419221
256,5977.927478291846
257,6061.599045617142
258,6650.225245204762
259,7254.1749804974515
260,6623.249004146244
261,5521.751644032147
262,5040.3272891921315
263,4925.702327824959
264,3290.0213316158365
265,4956.429379194884
266,5104.5404840029005
267,4427.437003962635
268,4240.188616095666
269,3200.3766108654263
270,3668.4921350041745
271,3508.809243226052
272,4165.445923416881
273,8563.384036234354
274,9858.193472076442
275,9831.284548441017
276,9752.346797036798
277,9718.043962514095
278,9729.891007293636
279,8846.89558664551
280,9223.992760764315
281,9346.155838928604
282,9349.149902802428
283,8984.591021579829
284,9057.75031718041
285,8435.543704196341
286,7641.256519176224
287,7938.7363790505615
288,8565.932612019085
289,8490.080334421464
290,8106.960028758851
291,7562.082076469756
292,8159.986037602402
293,8204.767693729616
294,7813.041000701958
295,6811.8942672088615
296,6053.453272341832
297,8612.399126023245
298,7679.461564249234
299,5123.11828131549
300,5003.199687496803
301,4893.297799873441
302,5748.977460170355
303,6846.235107081595
304,6461.124276061357
305,5047.712151237716
306,6360.874361837262
307,7134.959621622718
308,6976.0521388601865
309,6783.9133052990255
310,5647.77372643886
311,6301.49999539032
312,7343.748001876449
313,7327.5821242519305
314,7436.7340719799795
315,7378.7113012750415
316,7471.4897743087895
317,7184.525588608703
318,7139.456565137505
319,6911.860561181042
320,7091.45375275556
321,7138.423209276169
322,6649.562653720541
323,6650.666840091804
324,5026.158842253077
325,4362.894470016814
326,6159.780312501109
327,4765.220629455952
328,7255.86102749384
329,7566.826228139476
330,7633.218787420566
331,7668.439964278014
332,7493.171570022307
333,7224.060054642566
334,7416.459796701139
335,6788.482411797967
336,7538.297809405643
337,7271.026416868853
338,7358.646636658346
339,7369.31577214304
340,6637.40526495303
341,6623.66520231862
342,6505.213471014215
343,6649.221800294275
344,6217.38710898659
345,6596.573918116816
346,6732.1854065133175
347,3020.402173741389
348,2925.3533893644435
349,2299.3253762996837
350,1694.334796129943
351,5419.126972727406
352,6406.827467644
353,6842.252008444502
354,7041.309127694572
355,7024.384680232991
356,6841.084311137404
357,6316.223015184608
358,6080.782116286495
359,5827.261160253752
360,6586.034767011006
361,6597.050698934394
362,6692.324074567739
363,6669.616796701304
364,6739.679207053824
365,6259.8094210402505
366,6270.83219796354
367,6519.228265936712
368,6558.576016944442
369,4550.069893038596
370,3282.99568738846
371,1539.7350793067117
372,1230.4519081005224
373,2047.8566132824694
374,6035.410835272517
375,5711.285480474928
376,6538.9836104357355
377,6354.845564698974
378,6792.176319113303
379,6983.333253266661
380,6293.210287037393
381,6104.746158365229
382,6708.734581959394
383,6513.055837880477
384,7013.787380413274
385,7177.337354533092
386,7392.641376153624
387,7276.059331577491
388,7205.437286016232
389,7227.015181147831
390,6882.486559767623
391,7150.45610214166
392,7549.000931700924
393,6682.822361033031
394,4301.530810498543
395,3507.9414951695176
396,2202.3111747978865
397,3170.178166242452
398,6367.214870923762
399,6820.539098055385
400,7457.587630666845
401,7336.39537997164
402,7671.2694376769605
403,7217.4469331153
404,7130.185288596438
405,7300.807680462321
406,7530.5987312379475
407,5421.006314270658
