Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.7623708890054594,0.5462483681213464,2.1899675206599607,2.1899668792834484
DSM (Up),-0.7623708890054594,-0.5462483681213466,-2.1899675206599607,-2.189966879283448
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8930988265611102,0.19257529844085702,2.478821591192421e-06,0.0
Gas CC-CCS,0.0,0.0,0.024523601868223457,0.5170365992398159
Gas CC-Syn,0.0,0.0,0.0,0.005111405843246282
Gas Other,6.869814856854142e-05,2.395120364053497e-06,1.2729855495402591e-06,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,0.24228755498470478,0.7096208349403159,1.0166498088372924,1.1176093881662272
HP Shift (Up),-0.24233057535359437,-0.7098189244081703,-1.0170608858644554,-1.1179838974937883
Hydro Dam,18.067274814844968,18.07389236461114,17.739398670294634,17.99166436187684
Hydro RoR,17.28082753817166,17.960923365595587,19.2638228320891,19.428772410158594
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,6.254488940801252e-07,3.5406602518364646e-07,2.138784289263885e-07,1.1408999348731887e-07
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.881198181120297,14.506271627192179,5.030160017613755,0.0
Oil,1.211667040638745e-06,3.3672888433842407e-07,2.3767282917798735e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.7344578929261227,6.807139582656869,6.815693528174204
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.5986405711296325,19.200745789139575,29.50816932933221,32.07314464180753
Pump,2.9727250209263354,4.882647012767709,7.078060864726293,7.853930833301816
Pump (Load),-0.07612335604003029,-1.6672443350132826,-3.458116933779731,-4.321087611995567
Waste,1.7260781025815646,0.46159159449325055,0.09046815646996938,0.9767657418811957
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.18760367517548163,3.0965243298148484,3.090194021901215,3.0710854040500113
Exports,-46.54992635014057,-57.37888361829741,-58.01093808763751,-54.82386529400756
Imports,46.95661182894027,43.28587209585771,45.4784087015418,46.77762319418148
Imports (Net),0.40668547879970685,-14.0930115224397,-12.532529386095709,-8.04624209982609
Load (Net),58.1135113466949,40.317446759119456,33.23537842510971,34.40557677696826
Load (Total),60.899755592999995,65.34917477100001,72.640881359,76.365500351
