Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.7641785623939845,0.5456748586298358,2.189915845411757,2.189933914939938
DSM (Up),-0.7641785623939845,-0.5456748586298353,-2.189915845411757,-2.1899339149399277
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8930720247822224,0.19328795908877697,6.536272295149394e-06,0.0
Gas CC-CCS,0.0,0.0,0.036742139798565644,0.5511695669106846
Gas CC-Syn,0.0,0.0,0.0,0.002510904836795665
Gas Other,9.829789607536243e-05,6.515187215786001e-06,3.3568261640086167e-06,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,0.0,0.0,0.0,0.0
HP Shift (Up),0.0,0.0,0.0,0.0
Hydro Dam,18.06723909143257,18.07386471916176,17.744123595536152,17.992174006172622
Hydro RoR,17.28079418659899,17.95988989528735,19.259051348864357,19.424452357846917
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,6.509460988425996e-07,7.681993669627894e-07,5.493524289615237e-07,2.1213192411008667e-07
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.879146266710197,14.503596738776722,5.036148525481165,0.0
Oil,1.7099804654671718e-06,9.086794136549126e-07,6.423509148760308e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.7334515169430174,6.795911545870049,6.804542237426033
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.598633529347231,19.192507770209872,29.432045433973244,31.972403948643564
Pump,2.9750036118128125,4.9370741821623945,7.133788134201225,7.90272651769555
Pump (Load),-0.07882729610565561,-1.728201752667284,-3.5266629975588337,-4.381215020964176
Waste,1.7258944532610423,0.4614591286351291,0.09149888114771836,0.9781855820951566
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.1876020162619977,3.096454753068196,3.0896414927992986,3.0706305053075593
Exports,-46.51239703070829,-57.2995759261412,-57.90124182609376,-54.75318869466825
Imports,46.92177556911904,43.22536069160055,45.44982609229076,46.80110854584073
Imports (Net),0.40937853841074495,-14.07421523454066,-12.45141573380299,-7.952080148827522
Load (Net),58.11352004739077,40.32676073077891,33.32328288635741,34.51792365962284
Load (Total),60.899755592999995,65.34917477100001,72.640881359,76.365500351
